src_lang,tgt_lang,source,reference,prediction,latency
en,uz,Good night.,Xayrli tun.,al good night.,0.24909520149230957
en,uz,Where is Laurie?,Laurie qayerda?,: Where is Laurie?,0.045957326889038086
en,uz,I was hungry.,Men och edim.,was hungry.,0.06781816482543945
en,uz,Where are my watches?,Mening soatlarim qani?,: Where are my watches?,0.07774090766906738
en,uz,"I refuse to use public restrooms, as they are very unhygienic.",Juda antigigiyenik bo‘lganidan jamoat hojatxonalaridan foydalanishni rad etaman.,"to use public restrooms, as they are very unhygienic.",0.12369251251220703
en,uz,Where are the books?,Kitoblar qayerda?,: Where are the books?,0.04864239692687988
en,uz,I live in a rural area.,Qishloq joyida yashayman.,al: I live in a rural area.,0.0568242073059082
en,uz,Do you drink beer?,Pivo ichasizmi?,: Do you drink beer?,0.04745936393737793
en,uz,I have a friend.,Mening bir do'stim bor.,I have a friend.,0.04500007629394531
en,uz,Your book is on the desk.,Kitobingiz stol ustida.,is on the desk.,0.04507255554199219
en,uz,Why do you hate dogs so much?,Nega itlarni shunchalik yomon ko‘rasan?,: Why do you hate dogs so much?,0.06431126594543457
en,uz,I read a letter.,Bir xatni o'qidim.,I read a letter.,0.03638410568237305
en,uz,Do you have a house?,Uyingiz bormi?,: Do you have a house?,0.04982566833496094
en,uz,"Today, I want to cook pilaf.","Bugun, men osh pishirishni hohlayman.",: Today I want to cook pilaf.,0.05884242057800293
en,uz,I fell ill last year.,Men bultur kasal bo'ldim.,was sick last year.,0.05878257751464844
en,uz,How much money do you want?,Qancha pul istaysan?,: How much money do you want?,0.05222034454345703
en,uz,I like to read books.,Men kitob o‘qishni yaxshi ko‘raman.,: I like to read books.,0.04783344268798828
en,uz,Good morning.,Hayirli tong.,al good morning.,0.03578758239746094
en,uz,You are drunk!,Qotibqobsanku!,you are drunk!,0.03608846664428711
en,uz,What do you believe in?,Nimaga ishonasiz?,: What do you believe in?,0.05195498466491699
en,uz,This is not a dog.,Bu it emas.,is not a dog.,0.04977893829345703
en,uz,"Before this, I worked as a cab driver.",Bungacha men taksi haydovchisi bo'lib ishlaganman.,", I worked as a cab driver.",0.06534910202026367
en,uz,Didn't you see my birds?,Siz mening qushlarimni ko'rmadingizmi?,: Did you see my birds?,0.054735660552978516
en,uz,My dog is fast.,Itim o'zg'ir.,is fast.,0.03667259216308594
en,uz,How much money do you want?,Qancha pul xohlaysiz?,: How much money do you want?,0.05360007286071777
en,uz,Do you have a house?,Uying bormi?,: Do you have a house?,0.053630828857421875
en,uz,Who do you want to speak to?,Kim bilan gaplashishni xohlaysan?,: Who do you want to talk to?,0.05774188041687012
en,uz,I don't want to sign it.,Men uni imzolashni xohlamayman.,I don’t want to sign it.,0.05809831619262695
en,uz,Welcome.,Hush keldingiz!,al,0.027155399322509766
en,uz,I read only the first translation.,Faqat birinchi tarjimani o‘qidim.,I only read the first translation.,0.05781745910644531
en,uz,I live in India.,Hindistonda yashayman.,I live in India.,0.04262804985046387
en,uz,Did you win the match?,O'yinni yutdingizmi?,: Did you win the match?,0.04811286926269531
en,uz,I saw the queen.,Qirolichani ko'rdim.,I saw the queen.,0.040679931640625
en,uz,The women's basketball team has a male coach.,Ayollarning basketbol komandasining erkak murabbiyi bor.,al basketball team has a male coach.,0.0748593807220459
en,uz,"You can come, too.",Sen ham kelolasan.,"you can come, too.",0.04658985137939453
en,uz,I'm not a doctor.,Men vrach emasman.,: I am not a doctor.,0.0489954948425293
en,uz,Mahmud abhors being idle.,Mahmud bekor yurishni yoqtirmaydi.,al Abdurrahman Abdurrahman Abdurrahman Abdurrahman Abdurrahman Abdurrahman Abdurrahman Abdurrahman Abdurrahman Abdurrahman Abdurrahman Abdurrahman,0.24322056770324707
en,uz,Tom tried to catch the children's attention.,Tom bolalarning e’tiborini jalb qilishga harakat qildi.,was trying to catch the children’s attention.,0.06517815589904785
en,uz,I need my keys.,Menga kalitlarim kerak.,I need my keys.,0.05033993721008301
en,uz,Who rules the world?,Dunyoni kim boshqaradi?,: Who rule the world?,0.044704437255859375
en,uz,How many girls are in this picture?,Bu suratda qancha qiz bor?,: How many girls are in this picture?,0.059542179107666016
en,uz,You are comparing apples and oranges.,Olmalarni va apelsinlarni qiyoslayapsan.,is comparing apples and orange.,0.060186147689819336
en,uz,I went to school yesterday.,Men kecha maktabga bordim.,al: I went to school yesterday.,0.053667545318603516
en,uz,I have two cats.,Ikki mushugim bor.,I have two cats.,0.04988503456115723
en,uz,What's this?,Bu narsa nima?,: What is this?,0.04021930694580078
en,uz,Didn't you use to be a teacher?,Sen o'qituvchi emasmiding?,ed to be a teacher?,0.06274890899658203
