split_group_id,pair_count,gold_count,silver_count,bronze_count
group_00e8a825e974ecf729ba,259,2,257,0
group_02cc79c7aeea537c5497,74,0,74,0
group_0036d398eef58dd40d10,69,1,68,0
group_0624eeaae4b32a6fe36c,35,0,34,1
group_071a535b64e8ce19c2cd,30,0,30,0
group_02f123a45ee81a756456,27,0,27,0
group_0b366036fd502ab76066,25,1,24,0
group_0cf7781466665807e8e6,23,0,23,0
group_1936db775b02f21eff03,13,0,13,0
group_0b0aaf6ba90c9d196a93,12,0,12,0
group_07cad2906d7913b707b8,12,0,12,0
group_26036c2368a8c9503d9c,11,0,9,2
group_4fabdbe7c8524f839926,11,0,11,0
group_24f1603999166d118c8d,10,0,10,0
group_01d1979f4126b0cf4224,9,0,9,0
group_35692e896963cfba74a2,9,1,8,0
group_00db1ca7374746bc9bc6,9,0,9,0
group_5527c0f7f28ba59f92d5,9,0,9,0
group_668b4ca3742df8854a70,9,0,9,0
group_09ab8ed554c3b45f45fb,9,0,9,0
group_0126b7ba9e83f592948c,9,0,9,0
group_23d34c5cfcac8154b4a0,8,0,8,0
group_0cf741a23688c0237912,8,0,7,1
group_0ed129337bf927130e1a,8,3,5,0
group_32942f431137d58c7fe5,7,0,7,0
group_12610fe5312034d2ad75,7,0,7,0
group_0e3af432f6264d66e8cb,7,0,7,0
group_3fbf682cd927ea457a19,7,0,7,0
group_56683ef24510df7691a3,7,0,7,0
group_0a54374ad9b8ca6de24d,7,0,7,0
group_04865a318d700d3dda4d,7,0,7,0
group_0c6c5d0a4aab37e1b3ad,7,0,7,0
group_304dcbb7285895c0c4d4,6,0,5,1
group_1f01c60df867ae703dab,6,0,6,0
group_074fe588f9a8594bfc8c,6,0,6,0
group_13a2ae76669cf1b2cfc8,6,0,6,0
group_32745343dcb54308dabc,6,0,6,0
group_0f9d44e9f8ff836e2c48,6,0,6,0
group_5730424729eecdae0569,6,0,5,1
group_06192544603aee3f77e3,6,0,6,0
group_0892e80c4eea3454b5a4,6,0,6,0
group_16167755b91fde1ea686,6,0,6,0
group_2be3c99eaa3349b7a228,6,0,6,0
group_7348569f14c757614b20,6,0,5,1
group_2467cbfcdd069ed0d517,6,0,6,0
group_31f4f199685dd55e3324,6,0,6,0
group_12e9db965b12a9ed27a9,6,0,6,0
group_3875123e724af53fd5b6,5,0,5,0
group_3823e56056df3bf3c29d,5,0,5,0
group_1c7922501a4ed0be63b2,5,0,5,0
group_5ceecc5a181a82163498,5,0,5,0
group_14c138962c36e5cd3508,5,0,5,0
group_26e1ce84de02651a78b4,5,0,5,0
group_1cf55edb953f2df7e5a7,5,0,5,0
group_3a1cccd4a60342725848,5,0,5,0
group_7dabdd21f5fdcc0cedb9,5,0,5,0
group_1f71c2993dd1c637ba5f,5,0,5,0
group_0e601d2cb157ebc5e12b,5,0,5,0
group_64546cea864ea961382f,5,0,5,0
group_2a9d2b7bfc39220ff34c,5,2,3,0
group_317caec86945b24670fa,5,0,5,0
group_1a942d816f1a98d46b82,5,0,5,0
group_136e30d9e3e65d6ddc64,5,0,5,0
group_041286f820be30d99029,5,0,5,0
group_1e4ab79ced7d65f11381,5,0,5,0
group_0a33052539016c89aa43,5,0,5,0
group_13ef9cf76a03aab87f47,5,0,5,0
group_05469397e1eee683ec4b,5,0,5,0
group_22264ec9a2fa864415ca,5,0,5,0
group_3318e1934a147c4b1838,5,0,5,0
group_18f6bc6192a0608daedf,4,0,4,0
group_1d3aa1c40f69ce585c7c,4,0,4,0
group_52b0370210852cfdc414,4,2,2,0
group_63da1ba0bf2647e0f292,4,0,4,0
