review_id,pair_id,sample_group,en,uz,aligner_score,bicleaner_score,bifixer_score,length_ratio,risk_score,risk_flags,manual_label,manual_notes,llm_label,llm_confidence,llm_adequacy,llm_en_language_ok,llm_uz_language_ok,llm_reason,llm_model,llm_error
1,hplt_00002652,high_risk,It's also pretty incredible that we've managed to create great cross-platform compatibility.,"Lekin, sizlardan 99%, ehtimol, biz uchun mosligini ta'minlash rasmiy brauzerlar biri ishlatayotgan beri, qat'i nazar, bir masalalar bo'lmasligi kerak., Bundan tashqari, biz katta xoch-platforma mosligini yaratishga muvaffaq bo'ldik.",0.5386599898338318,1.0,0.9426000118255616,2.5217391304347827,9,length_ratio|number_mismatch|low_aligner,,,wrong,0.9,1,True,False,乌兹别克语句子中提到了99%的用户使用官方浏览器，以及不应该出现的问题，而英语句子并没有这些内容。此外，关于跨平台兼容性的表述也不准确。,qwen-max,
2,hplt_00003570,high_risk,"Retrieved March 9, 2021.",Qaraldi: 8-mart 2021-yil.,0.516398012638092,0.890999972820282,0.7860999703407288,1.0416666666666667,11,number_mismatch|low_aligner|low_bicleaner|low_bifixer,,,minor,0.8,3,True,True,"日期翻译有误，英语中的'March 9, 2021'被译为'8-mart 2021-yil'，即3月9日变成了3月8日。其他部分正确。",qwen-max,
3,hplt_00002549,high_risk,Preset support.,Oldindan o'rnatilgan qo'llab -quvvatlash .,0.5773500204086304,0.8149999976158142,0.9616000056266784,2.8,11,length_ratio|very_short|low_aligner|low_bicleaner,,,correct,0.9,4,True,True,预设支持翻译准确，意思完全一致。,qwen-max,
4,hplt_00005357,random_control,Unlike chat rouletteson other platforms you can talk to random people and still be in control of the situation!,"Ruletka chatidan farqli o'laroq, siz tasodifiy odamlar bilan gaplashishingiz va vaziyatni nazorat qilishingiz mumkin!",0.5178560018539429,0.9950000047683716,0.9682000279426576,1.054054054054054,4,low_aligner,,,correct,0.9,4,True,True,句子的意思得到了准确的传达，尽管有一些小的词汇变化，但不影响整体理解。,qwen-max,
5,hplt_00007972,random_control,The journey will take about 5 minutes.,Safar taxminan 5 daqiqa davom etadi.,0.6549760103225708,0.9760000109672546,0.9226999878883362,1.0555555555555556,0,,,,correct,0.9,4,True,True,旅程大约需要5分钟的信息在两种语言中都被准确地表达了出来。,qwen-max,
6,hplt_00002483,random_control,"Another example: In case of increased body temperature, the sweat glands are caused to release more sweat; for they receive the command of nerve impulses; In this way the body is cooled.",Yana bir misol: tana harorati ko'tarilgan taqdirda ter bezlari ko'proq ter chiqarishga olib keladi; chunki ular nerv impulslari buyrug'ini olishadi; Shu tarzda tana soviydi.,0.5305950045585632,1.0,0.9370999932289124,1.0751445086705202,4,low_aligner,,,correct,0.9,4,True,True,句子意思忠实保留，表达自然。,qwen-max,
7,hplt_00002750,high_risk,• double-effect HLM-1,Ichki sifatni nazorat qilish tartiblariquyidagilar bilan ta'minlanadi:,0.5120490193367004,1.0,0.9887999892234802,3.333333333333333,9,length_ratio|number_mismatch|low_aligner,,,wrong,0.95,1,True,False,乌兹别克语句子与英语原句意思完全不同，涉及的主题也不同。,qwen-max,
8,hplt_00008992,random_control,"The picture editor in Adobe Elements 14 is divided into three modes: Quick, Guided and Expert.","Adobe Elements 14 -dagi rasm muharriri uchta rejimga bo'linadi: Tez, boshqariladigan va ekspert.",0.7492690086364746,0.9990000128746032,0.9083999991416932,1.0212765957446808,0,,,,correct,0.85,4,True,True,句子意思忠实保留，表达自然。,qwen-max,
9,hplt_00003037,random_control,Send your suggestions and wishes to the mail,Sizning takliflaringizni va tilaklaringizni pochtaga yuboring,0.8822069764137268,0.9660000205039978,0.9887999892234802,1.3863636363636365,0,,,,correct,0.9,4,True,True,句子意思忠实保留，表达自然。,qwen-max,
10,hplt_00004553,high_risk,Tashkent branch,-issiqlik almashuvchisi - 1,0.5477229952812195,0.871999979019165,2.613600015640259,1.8,10,very_short|number_mismatch|low_aligner|low_bicleaner,,,wrong,0.95,1,True,False,乌兹别克语句子与英语原句意思完全不同，涉及的主题也不同。,qwen-max,
