review_id,pair_id,sample_group,en,uz,aligner_score,bicleaner_score,bifixer_score,length_ratio,risk_score,risk_flags,manual_label,manual_notes,llm_label,llm_confidence,llm_adequacy,llm_en_language_ok,llm_uz_language_ok,llm_reason,llm_model,llm_error
2,hplt_00003570,high_risk,"Retrieved March 9, 2021.",Qaraldi: 8-mart 2021-yil.,0.516398012638092,0.890999972820282,0.7860999703407288,1.0416666666666667,11,number_mismatch|low_aligner|low_bicleaner|low_bifixer,,,minor,0.8,3,True,True,"日期翻译有误，英语中的'March 9, 2021'被译为'8-mart 2021-yil'，即3月9日变成了3月8日。其他部分正确。",qwen-max,
8,hplt_00008992,random_control,"The picture editor in Adobe Elements 14 is divided into three modes: Quick, Guided and Expert.","Adobe Elements 14 -dagi rasm muharriri uchta rejimga bo'linadi: Tez, boshqariladigan va ekspert.",0.7492690086364746,0.9990000128746032,0.9083999991416932,1.0212765957446808,0,,,,correct,0.85,4,True,True,句子意思忠实保留，表达自然。,qwen-max,
11,hplt_00007029,high_risk,"2015 Hot Sale Stainless Steel 316 Photo Etching Screen Made in ChinaFoshan Hermes Steel Co., Ltd.","Plitalar ishlab chiqarish zanglamas po'latdan yasalgan katlama ekranli xonani ajratuvchi qism XitoydanFoshan Hermes Steel Co., Ltd.",0.5072720050811768,0.9449999928474426,0.9049000144004822,1.350515463917526,9,number_mismatch|low_aligner|low_bicleaner,,,wrong,0.8,1,True,False,英文是关于不锈钢蚀刻屏的销售信息，而乌兹别克语则是关于从中国进口的钢板隔断的信息。主题和细节完全不同。,qwen-max,
15,hplt_00009734,random_control,These have two components: a rectal exam and a blood test to identify elevated levels of prostate-specific antigen (a possible sign of prostate cancer).,Bu ikkita komponentdan iborat: prostata o'ziga xos antijeni (prostata saratonining mumkin bo'lgan belgisi) darajasini aniqlash uchun rektal tekshiruv va qon tekshiruvi.,0.5299450159072876,0.996999979019165,0.9509000182151794,1.105263157894737,4,low_aligner,,,correct,0.8,4,True,True,乌兹别克语翻译准确地传达了原文意思，没有任何关键信息丢失或添加。,qwen-max,
18,hplt_00000365,random_control,Progesterone function in the body,Organizmdagi progesteron funktsiyasi,1.0,0.977999985218048,1.0096999406814575,1.0909090909090908,0,,,,correct,0.85,4,True,True,乌兹别克语准确地表达了英文原意，即在身体内孕酮的功能。,qwen-max,
19,hplt_00004912,high_risk,Retrieved 16 July 2006.,Qaraldi: 16-iyul 2006-yil.,0.5267639756202698,0.9210000038146972,0.7858999967575073,1.1304347826086956,9,low_aligner|low_bicleaner|low_bifixer,,,minor,0.8,3,True,True,虽然基本意思得到了保留，但是英文中的'retrieved'更倾向于表示检索或获取某信息，而乌兹别克语中的'qaraldi'更像是被查看或阅读了。,qwen-max,
23,hplt_00001490,random_control,"- Wide frequency range from 1KHZ to 20KHZ, working frequency can be designed by changing the coil and compensating capacitor according to the melting material, quantity, stirring effect desire, working noise, melting efficiency and other factors.","- 1KHZdan 20KHZgacha bo'lgan keng chastota diapazonida ish chastotasi mato va miqdori, aralashtirish effekti orzusi, ishlaydigan shovqin, eritish samaradorligi va boshqa omillarga muvofiq sariq va kompensatsion kondansatgichni o'zgartirib, loyihalash mumkin.",0.5387709736824036,0.9959999918937684,0.9419999718666076,1.048780487804878,4,low_aligner,,,minor,0.8,3,True,True,核心意思得到了保留，但一些术语的翻译略显生硬。,qwen-max,
49,hplt_00005119,random_control,How do you get access to this rich offering?,Ushbu boy taklifga qanday qilib kirishingiz mumkin?,0.6666669845581055,0.9660000205039978,0.9496999979019164,1.1590909090909092,0,,,,correct,0.8,4,True,True,翻译准确，意思完全一致。,qwen-max,
54,hplt_00006476,random_control,This terrible event and the incredible grief that befell the artist forced him to paint with unprecedented heat.,Ushbu dahshatli voqea va rassomning boshiga tushgan dahshatli qayg'u uni misli ko'rilmagan issiqlik bilan bo'yashga majbur qildi.,0.6710579991340637,1.0,0.9505000114440918,1.1517857142857142,0,,,,correct,0.8,4,True,True,翻译准确，意思保留完整。,qwen-max,
62,hplt_00003977,high_risk,Retrieved 4 January 2017.,Qaraldi: 4-yanvar 2017-yil.,0.5477229952812195,0.949999988079071,0.8209999799728394,1.08,9,low_aligner|low_bicleaner|low_bifixer,,,minor,0.8,3,True,True,核心意思被保留了，但'Qaraldi'（查阅）这个词不如'Retrieved'（检索/获取）准确。,qwen-max,
68,hplt_00009209,random_control,"Natural shades in pastel colors can be complemented by lavender, blue and yellow, creating the necessary accents.","Pastel ranglarda tabiiy ranglar lavanta, ko'k va sariq rangda to'ldirilib, zarur aksinlarni yaratadi.",0.5231480002403259,0.9980000257492064,0.9433000087738036,1.118811881188119,4,low_aligner,,,minor,0.8,3,True,True,"整体意思基本保留，但有一些小错误。例如，""to be complemented by""被译为""to'ldirilib""（填充），这在语境中不太合适。",qwen-max,
72,hplt_00009296,random_control,"Hebei Jiake Welding Equipment Co., Ltd. was established in 1999 and located in Anping country, Hebei province, China.","Hebei Jiake Welding Equipment Co., Ltd 1999 yilda tashkil topgan va Anping mamlakati, Xebey viloyati, Xitoyda joylashgan.",0.6071509718894958,0.99099999666214,0.8934000134468079,1.0341880341880345,4,low_aligner,,,correct,0.8,4,True,True,翻译准确，保留了原文的所有重要信息。,qwen-max,
75,hplt_00007310,random_control,"If you make several of these toys, you can create a full-fledged New Year tree with handmade crafts.","Agar siz ushbu o'yinchoqlardan bir nechtasini qilsangiz, qo'lda ishlaydigan qo'l san'atlari bilan to'la shonli yangi yil daraxti yaratishingiz mumkin.",0.6761379837989807,0.9990000128746032,0.9366999864578248,1.5,0,,,,correct,0.8,4,True,True,翻译准确，保留了原文的所有重要信息。,qwen-max,
78,hplt_00009148,random_control,Just don't be persistent and don't show your serious intentions.,Qat'iy bo'lmang va jiddiy niyatlaringizni namoyish qilmang.,0.6909360289573669,0.9980000257492064,0.9574999809265136,1.0847457627118644,0,,,,minor,0.8,3,True,True,'不要坚持'被翻译为'不要太强硬'，虽然意思相近，但并非完全准确。,qwen-max,
92,hplt_00005882,random_control,Don't forget to look them in the eyes;) This piquant option is unavailable on other such sites.,Ularni ko'zlariga qarashni unutmang;) Boshqa oddiy saytlarda ushbu oddiy variant mavjud emas.,0.5960540175437927,0.944000005722046,0.9397000074386596,1.021505376344086,7,low_aligner|low_bicleaner,,,minor,0.8,3,True,True,保留了主要意思，但'piquant option'翻译为'ushbu oddiy variant'不够准确。,qwen-max,
117,hplt_00002923,high_risk,uVt4SF My brother suggested I might like this blog.,Akam menga bu sayt yoqishi mumkinligini aytdi.,0.504610002040863,0.9480000138282776,0.9330000281333924,1.108695652173913,9,number_mismatch|low_aligner|low_bicleaner,,,minor,0.8,3,True,True,博客被翻译成网站，但主要意思没有改变。,qwen-max,
152,hplt_00004160,random_control,This is where you place your chips if you want to bet on either all black or all red numbers:,Agar barcha qora yoki barcha qizil raqamlar ham pul tikish bo'lsangiz siz chips joylashtirish qaerda Bu:,0.7454720139503479,0.9850000143051147,0.932200014591217,1.118279569892473,0,,,,wrong,0.8,2,True,False,乌兹别克语翻译与英语原句意思不符，且语法混乱。,qwen-max,
153,hplt_00006810,high_risk,Retrieved 27 February 2013.,Qaraldi: 27-fevral 2013-yil.,0.5267639756202698,0.9409999847412108,0.809499979019165,1.037037037037037,9,low_aligner|low_bicleaner|low_bifixer,,,minor,0.7,3,True,True,虽然核心意思保留了，但乌兹别克语中使用了'Qaraldi'（查看）而不是'Retrieved'（检索）。,qwen-max,
177,hplt_00002930,random_control,"5 100% full load, 24 hours continuous working","5 100% to'liq yuk, 24 soat davom etmoqda",0.7136260271072388,0.9990000128746032,0.8424000144004822,1.125,2,low_bifixer,,,minor,0.8,3,True,True,虽然核心意思保留了，但'连续工作'在乌兹别克语中表达得不够清晰，缺少了'连续'这一概念。,qwen-max,
188,hplt_00007253,random_control,"At different heights, you can open and close the structure.",Turli xil balandliklardagi binoni ochib yopishingiz mumkin.,0.7283110022544861,0.8759999871253967,0.9574000239372252,1.0,3,low_bicleaner,,,minor,0.85,3,True,True,核心意思保留，但“structure”被具体化为“building”，这可能不是在所有情况下都适用。,qwen-max,
196,hplt_00009450,random_control,Even God calls His Book (al-Qur'an) as a fair sentence.,Hatto Alloh O'z Book (al-Qur'on) adolatli hukm sifatida chaqiradi.,0.6698639988899231,0.996999979019165,0.8755999803543091,1.2,0,,,,correct,0.8,4,True,True,翻译准确，意思完全保留。,qwen-max,
198,hplt_00002831,high_risk,Civil War and Reconstruction (1860–1900),Fuqarolar urushi va qayta qurish[tahrir],0.5345219969749451,0.8809999823570251,1.9306000471115112,1.0,9,number_mismatch|low_aligner|low_bicleaner,,,minor,0.7,3,True,True,缺少时间范围 (1860–1900)，但核心含义保留。,qwen-max,
