en_id,en,uz_id,uz,uz_has_cyrillic
16996,Mind your own business!,423846,Ishingizni qiling!,False
16996,Mind your own business!,423847,Ishingni qil!,False
16996,Mind your own business!,423848,Ishinglarni qilinglar!,False
19904,The customer did not come.,2790055,Xaridor kelmadi.,False
20392,Never mind.,423857,Hech gap yo'q.,False
1636183,Every rose has its thorns.,521709,Go‘l tikansiz bo‘lmaydi.,False
33133,Here comes the train.,872731,Mana poezd kelyapti.,False
42358,That's my affair.,423855,U mening ishim.,False
55755,This is your only chance.,866399,Bu sening yagona imkoniyating.,False
64332,You are drunk!,866408,Qotibqobsanku!,False
67126,That is mine.,1223561,U mening.,False
70172,When do you study?,3200205,Qachon o'qiysan?,False
240641,Aren't you thirsty?,866407,Chanqamadingizmi?,False
259872,I am pregnant.,2666303,Ikkiqatman.,False
261325,I think she is a good dancer.,866280,O'ylashimcha u yaxshi o'yinchi,False
275296,I'll wait for you.,392473,Seni kutaman.,False
276279,Who stole the apple?,2830947,Olmani kim o'g'irladi?,False
293617,He is not a doctor.,866398,U doktor emas.,False
319380,My father painted the mailbox red.,2768807,Otam pochta qutisini qizilga bo'yadi.,False
324544,The post office is the brown building.,2768404,Pochta qo'ng'ir bino.,False
333156,Good evening.,3212168,Hayirli kech.,False
349064,I don't know.,3212154,Bilmayman.,False
375822,What happened?,423858,Nima gap?,False
376611,I don't understand.,3212158,Tushunmayman.,False
392269,Life's a ruin without you.,392421,Sensiz hayot barbod.,False
394894,What's the matter?,423861,Nima bo'ldi?,False
397202,"Don't wilt away, love.",397201,"Hazon bo'lma, muhabbat.",False
398746,"Hello, world!",866400,Salom dunyo!,False
403046,Do you understand me?,2126009,Siz mening tushunayapsizmi?,False
410907,Where are my watches?,423841,Soatlarim qani?,False
410907,Where are my watches?,423842,Mening soatlarim qani?,False
410908,Where are my clocks?,423841,Soatlarim qani?,False
410908,Where are my clocks?,423842,Mening soatlarim qani?,False
413821,What's this?,423839,Bu narsa nima?,False
416367,Where are you going?,2768402,Qayerga boryapsan?,False
423309,I'll go on living without you.,423307,Sensiz yashayman.,False
423332,It's you I've come for.,423333,Sen uchun keldim.,False
423332,It's you I've come for.,423337,Siz uchun keldim.,False
423332,It's you I've come for.,423338,Sizlar uchun keldim.,False
423863,I fell ill last year.,423862,Men bultur kasal bo'ldim.,False
448645,Thanks!,397313,Rahmat!,False
453790,I don't want meat.,2340139,Go'sht istamayman.,False
462654,The coffee is cold.,2499499,Kofe sovuq.,False
462952,The tea is hot.,2499503,Choy issiq.,False
490799,I'm a translator.,865136,Men tarjimon.,False
499689,Good afternoon.,3212186,Hayirli kun.,False
528229,There are no roses without thorns.,521709,Go‘l tikansiz bo‘lmaydi.,False
703057,"Ah, the coffee is really hot!",2499500,"Ah, kofe haqiqatdan issiq!",False
816037,"Come on, let us talk about flowers.",813318,Kelilar gullar haqida gapalshamiz .,False
875766,"I need a spoon, a fork, and a knife. Thank you.",2768397,"Menga qoshiq, vilka va pichoq kerak. Rahmat.",False
891930,I want to die with Getter Jaani.,948608,Getter Jaani ila o'lmaq istayiram.,False
978547,This is not a cat. This is a dog.,3098136,Bu mushuk emas. Bu it.,False
980457,Will you come with me to the concert?,2767121,Mening bilan konsertga kelasanmi?,False
1097930,"Greetings, old friend!",1223564,"Salam, eski do'stim!",False
1097948,That is beautiful.,1223562,Bu go'zal.,False
1097961,My dog is fast.,1223565,Itim o'zg'ir.,False
1097988,You are my mother.,1223568,Sen mening volidamsin.,False
1113162,I don't see a man.,2836664,Bir odam ko'rmayman.,False
1125399,The parrot is dead.,2768824,To'ti o'lgan.,False
1160291,It is my dog.,1223560,U mening itim.,False
1160293,It is mine.,1223561,U mening.,False
1164887,The day is beautiful.,1223557,Ro'z go'zal.,False
1173265,My name is Tom.,1223552,Mening ismim Tom.,False
1188714,My hair is light brown.,1223550,Qillarim oq-go'los.,False
1399479,Burj Khalifa is currently the tallest skyscraper in the world.,2881357,Burj Halifa hozirgi kunda dunyodagi eng baland osmono'par bino deb hisoblanadi.,False
1502828,I have money.,2929148,Menda pul bor.,False
1549913,"Hello, old friend!",1223564,"Salam, eski do'stim!",False
1549914,This is beautiful.,1223562,Bu go'zal.,False
1549917,That is my dog.,1223560,U mening itim.,False
1549918,He is Japanese.,1223558,U yapon.,False
2011083,I read a letter.,2661332,Bir xatni o'qidim.,False
2226329,I bit my tongue.,2226840,Tilimni tishladim.,False
2258234,Good morning.,3212166,Hayirli tong.,False
2412739,I have two cats.,2927670,Ikki mushugim bor.,False
2428904,I have to change the baby's nappy.,2428905,Chaqaloqning tagligini o'zgartirishim kerak.,False
2499490,Where is Laurie?,2499491,Laurie qayerda?,False
2499505,Where is the hotel?,2499506,Mehmonxona qayerda?,False
1194034,I'm not a doctor.,2661342,Men vrach emasman.,False
257759,I went to school yesterday.,2664974,Men kecha maktabga bordim.,False
2659137,Laurie sat on the chair.,2661337,Lori stulga o'tqizdi.,False
2659146,Laurie drank the water.,2661338,Lori suvni ichdi.,False
2659150,Laurie broke the glass.,2661336,Lori shishani sindirdi.,False
2659524,Every colour has a meaning.,2664990,Har bir rangning ma'nosi bor.,False
2659530,I changed the baby's nappy.,2664988,Chaqaloqning tagligini o'zgartirdim.,False
2659574,I dreamt a strange dream.,2661329,G'ayritabiiy tush ko'rdim.,False
2660853,Is that a paper?,2661325,U qog'ozmi?,False
2638616,I'll read the book.,2661324,Men kitobni o'qiyman.,False
2660940,I took the book.,2661323,Men kitobni oldim.,False
2661312,It's a big dog.,2661319,Bu katta it.,False
2332108,I'm not a teacher.,2664980,Men o'qituvchi emas.,False
1908577,Go to your room!,2664987,Xonangizga boringiz!,False
