model_name,direction,samples,bleu,chrf2,repetition_percent,hit_max_tokens_percent,abnormal_length_percent,format_prefix_percent,numbered_samples,number_preservation_percent,latency_mean_seconds,latency_p95_seconds
m2m100_1_2b,en-uz,50,0.38296162747686324,13.950758677081506,0.0,0.0,2.0,0.0,13,100.0,0.5166580640012398,0.7521356550336349
m2m100_418m,en-uz,50,0.5163808912733578,15.522343636363647,0.0,0.0,0.0,0.0,13,84.61538461538461,0.2999326160084456,0.4873432399937882
qwen3_4b_q8,en-uz,50,2.4699439466201927,14.948376316420417,16.0,34.0,52.0,0.0,13,53.84615384615385,2.0492587280017323,4.33784027491929
m2m100_1_2b,ru-uz,50,0.3447168573736923,11.677329053881914,0.0,0.0,14.000000000000002,0.0,11,63.63636363636363,0.5810560120083391,0.855649024969898
m2m100_418m,ru-uz,50,0.34372258751342927,15.611791628032549,0.0,0.0,0.0,0.0,11,81.81818181818183,0.3500962160038762,0.514768575009657
qwen3_4b_q8,ru-uz,50,2.423108610010916,23.133319839154506,14.000000000000002,14.000000000000002,18.0,0.0,11,72.72727272727273,1.2553627640102059,3.6714404149563054
m2m100_1_2b,uz-en,50,2.2182658498137355,20.73876636184244,0.0,0.0,0.0,0.0,13,69.23076923076923,0.7474549580039457,1.7707125000306394
m2m100_418m,uz-en,50,1.6239550514455325,22.03293109005478,0.0,0.0,0.0,0.0,13,84.61538461538461,0.4338175779907033,0.8238076250185256
qwen3_4b_q8,uz-en,50,19.06069772428147,43.37400363795961,0.0,0.0,8.0,0.0,13,84.61538461538461,0.4577407840057276,0.6819254099682439
m2m100_1_2b,uz-ru,50,1.239911393033551,18.05897056019656,0.0,0.0,0.0,0.0,13,69.23076923076923,0.7532401859969832,1.383676014986122
m2m100_418m,uz-ru,50,1.1358119772407496,18.853400565970553,0.0,0.0,0.0,0.0,13,76.92307692307693,0.43600488199619575,0.7246706650010307
qwen3_4b_q8,uz-ru,50,10.761223341971137,36.3224695971741,0.0,0.0,0.0,0.0,13,100.0,0.6969376780022867,1.0005751949560362
m2m100_1_2b,uz-zh,50,4.995305051184532,4.723596587157899,0.0,0.0,0.0,0.0,13,15.384615384615385,0.6394736759993248,1.124122655013343
m2m100_418m,uz-zh,50,4.603399048430998,5.382847794521408,0.0,0.0,2.0,0.0,13,30.76923076923077,0.3371235780022107,0.5186607299547177
qwen3_4b_q8,uz-zh,50,23.934592486118095,16.255704635056496,0.0,0.0,8.0,0.0,13,7.6923076923076925,0.45814006600528956,0.6824936799530406
m2m100_1_2b,zh-uz,50,0.4703245279786524,11.962737982962404,0.0,0.0,12.0,0.0,13,61.53846153846154,0.5453351080138237,0.8516598549729678
m2m100_418m,zh-uz,50,0.3258129685769002,15.03022691645721,0.0,0.0,0.0,0.0,13,61.53846153846154,0.3170991280139424,0.5871954500616992
qwen3_4b_q8,zh-uz,50,1.754721167418694,24.412060450007246,24.0,18.0,16.0,0.0,13,53.84615384615385,1.4376883660024031,3.8066375699767376
