pair_id,domain,register,en,zh,ru,uz,generation_model
syn_000001,daily_chat,polite,"Could you pass the salt, please?",请把盐递给我好吗？,"Не могли бы вы передать мне соль, пожалуйста?","Iltimos, tuzni uzatingmi?",qwen-plus
syn_000002,daily_chat,neutral,I’ll be back in 15 minutes.,我15分钟后回来。,Я вернусь через 15 минут.,Men 15 daqiqadan keyin qaytaman.,qwen-plus
syn_000003,daily_chat,neutral,Is the Wi-Fi password still ‘Sunshine2024’?,Wi-Fi密码还是‘Sunshine2024’吗？,Пароль от Wi-Fi всё ещё «Sunshine2024»?,Wi-Fi paroli hozir ham ‘Sunshine2024’mi?,qwen-plus
syn_000004,daily_chat,neutral,Don’t forget to water the plants tomorrow morning.,别忘了明天早上给植物浇水。,Не забудьте полить растения завтра утром.,Ertangi kuni sabah o'simliklarga suv berishni unutmang.,qwen-plus
syn_000005,daily_chat,informal,Wow — this cake is amazing! Did you bake it yourself?,哇——这个蛋糕太棒了！是你自己烤的吗？,Вау — этот торт потрясающий! Вы сами его испекли?,Voy — bu tort ajoyib! Siz o'zingiz pishirgansizmi?,qwen-plus
syn_000006,daily_chat,polite,"Sorry, I missed your call at 3:42 p.m.",抱歉，我错过了你下午3:42的电话。,"Извините, я пропустил ваш звонок в 15:42.","Kechirasiz, siz 15:42 da qilgan qo'ng'iroqingizni qo'lga kira olmadim.",qwen-plus
syn_000007,daily_chat,neutral,Let’s meet at the café near the park at 11 a.m. on Saturday.,咱们周六上午11点在公园附近的咖啡馆见面吧。,Давайте встретимся в кафе возле парка в 11:00 в субботу.,"Shunday qilib, shovqinli kunlarda park yaqinidagi kafeda shanba kuni soat 11:00 da uchrashamiz.",qwen-plus
syn_000008,daily_chat,neutral,"No, I haven’t tried that restaurant yet.",没有，我还没去过那家餐厅。,"Нет, я ещё не пробовал это заведение.","Yo'q, men hali shu restoraniga bormaganman.",qwen-plus
syn_000009,daily_chat,polite,Would it be okay if I borrowed your notebook for 2 days?,我借你的笔记本两天可以吗？,Можно ли мне одолжить ваш блокнот на 2 дня?,Men sizning daftarizingizni 2 kun foydalansa bo'ladimi?,qwen-plus
syn_000010,daily_chat,informal,The bus leaves at 8:05 — we need to hurry!,公交车8点05分发车——我们得快点了！,Автобус отправляется в 8:05 — нам нужно торопиться!,Avtobus soat 8:05 da ketadi — biz tezda borishimiz kerak!,qwen-plus
