en,uz,aligner_score,bicleaner_score,manual_review
"Even have this travel map, so I think some of you might be traveling, moving, taking a journey like this.","Shuningdek, ushbu sayohat xaritasiga ega bo'ling, shuning uchun sizlardan ba'zilari sayohat qilish, harakat qilish va sayohat qilishlari mumkin deb o'ylayman.",0.5020459890365601,1.0,
Successful models were developed to explain the interiors of stars and stellar evolution.,"Globula ham siqilib, zichlik oshgach, gravitatsiyaviy energiya issiqlikka aylanib, harorat koʻtariladi.",0.5117970108985901,0.9610000252723694,
The insurance indemnity is paid directly to the victim or beneficiary no later than five working days from the date of signing the Act on Insurance Event.,Sugʻurta qoplamasi bevosita jabrlanuvchiga yoki Naf oluvchiga Sugʻurta hodisasi toʻgʻrisidagi dalolatnoma imzolangan kundan boshlab besh ish kunidan kech boʻlmagan muddatda toʻlab beriladi.,0.5333349704742432,0.9959999918937683,
"Just like Leo, they were born to be in the spotlight.","Xuddi Leo singari, ular ham diqqat markazida bo'lish uchun tug'ilishgan.",0.7511399984359741,1.0,
It is used mainly for UI and UX design of web and mobile apps.,U asosan veb va mobil ilovalarning UI va UX dizaynida ishlatiladi.,0.658312976360321,0.9909999966621399,
"In the File name box, enter a file name for the video, browse to the folder where you want to save the file, and click Save.","Fayl nomi maydoniga video uchun fayl nomini kiriting, faylni saqlamoqchi bo'lgan papkani ko'rib chiqing va Saqlash tugmachasini bosing.",0.6409819722175598,1.0,
Learn the history and secrets of the thanks to our blackjack online guide France.,Bizning Blackjack onlayn qo'llanma France minnatdorchilik tarixi va sirlarini bilish.,0.609486997127533,0.9959999918937683,
They love to have the best of everything.,Ular hamma narsaning eng yaxshisini egallashni yaxshi ko'radilar.,0.6236100196838379,0.9990000128746033,
"For example: we go out to work, park our car in the huge parking lot, and then walk to the destination.","Masalan: ishga chiqamiz, mashinamizni ulkan to‘xtash joyiga qo‘yamiz, so‘ng manzilga piyoda boramiz.",0.5114139914512634,0.9890000224113464,
"- With the enzyme oriented towards the interior of the cell, the carrier has a high affinity for sodium ions.","- Ferment hujayraning ichki qismiga yo'naltirilganligi sababli, tashuvchi natriy ionlari uchun yuqori yaqinlikka ega.",0.5174630284309387,1.0,
• double-effect HLM-1,Ichki sifatni nazorat qilish tartiblariquyidagilar bilan ta'minlanadi:,0.5120490193367004,1.0,
The main element of this style is mosaic.,Ushbu uslubning asosiy elementi mozaikadir.,1.0,0.984000027179718,
Iowa launched sports betting in the state in May of 2019.,Ayova shtati sport bahslarini 2019 yil may oyida boshlagan.,0.583873987197876,0.9390000104904175,
diagnostics and reliability of automated systems;,avtomatlashtirilgan tizimlarning diagnostikasi va ishonchliligi;,0.8451539874076843,0.996999979019165,
