en_id,en,uz_id,uz,uz_has_cyrillic
1563,Are they all the same?,493744,Улар ҳаммаси бир ҳилму?,True
1860,I don't want to go to school.,3633459,Мактабга боргим келмаяпти.,True
16996,Mind your own business!,424075,Ишингизни қилинг!,True
16996,Mind your own business!,424078,Ишингни қил!,True
16996,Mind your own business!,424079,Ишингларни қилинглар!,True
20392,Never mind.,424088,Ҳеч гап йўқ.,True
23929,Do you like singing?,397111,Ашула айтиш яхши кўрасизми?,True
24579,What time do you get up?,424540,Соат нечада ўрнингиздан турибсиз?,True
24579,What time do you get up?,424541,Соат нечада ўрнингдан турибсан?,True
24657,Why didn't you come?,426599,Нима сабабдан келмадинг?,True
24657,Why didn't you come?,426601,Нима сабабдан келмадингиз?,True
24657,Why didn't you come?,426602,Нима сабабдан келмадинглар?,True
30560,"I will help you, of course.",493789,Албатта сизларга ёрдам бераман.,True
30573,Come if possible.,425125,"Мумкин бўлса, кел.",True
30573,Come if possible.,425126,"Мумкин бўлса, келинг.",True
30573,Come if possible.,425127,"Мумкин бўлса, келинглар.",True
31688,I'll wait another five minutes.,504640,Яна беш минут кутаман.,True
32841,A friend in need is a friend indeed.,398186,Қийинчиликдаги дўст ҳақиқий дўстдир.,True
32975,"How are you, Mike?",425674,"Аҳволингиз қалай, Майк?",True
32975,"How are you, Mike?",425675,"Аҳволинг қалай, Майк?",True
34306,This is Brian Rock.,457795,Бу Брайан Рок.,True
41295,That's impossible.,425121,Имкон йўқ.,True
42358,That's my affair.,424083,У менинг ишим.,True
55021,These are my books.,426410,Булар менинг китобларим.,True
56969,This book belongs to you.,493556,Бу китоб сизга оид.,True
67035,That is his car.,486984,У унинг автомобили.,True
67092,Is that a cat?,426393,Бу мушукму?,True
69862,Where did you see the woman?,397204,Сиз хотинни қаерда кўрдингиз?,True
243584,We have no sugar.,544074,Бизда шакар йўқ.,True
243597,Is there any sugar?,504961,Шакар борми?,True
252040,My friends aren't young.,397613,Менинг дўстларим ёш эмас.,True
254894,I usually go home at four.,397223,Мен одатта соат тўртта уйимга қайтиб бораман.,True
255663,I'm still busy.,397620,Мен ҳали банд.,True
257809,I was busy yesterday.,425340,Кеча банд идим.,True
259872,I am pregnant.,2666302,Иккиқатман,True
266790,Get out!,425068,Йўкол!,True
266790,Get out!,425069,Йўколинг!,True
266790,Get out!,425070,Йўколинглар!,True
272711,Last week five students were absent from class.,424426,Ўтган хафта беш студент дерсде йўқ эди.,True
275296,I'll wait for you.,423867,Сени кутаман.,True
276197,Who painted this picture?,958197,Бу суратни ким бўяган?,True
278336,I met him in the street.,958189,Мен кучада у билан учрашдим.,True
294473,He is a scientist.,486841,У олим.,True
301146,He is Taro's brother.,460848,У Таронинг акаси.,True
301146,He is Taro's brother.,460849,У Таронинг укаси.,True
306610,They were called out three times last night.,958180,Кеча кечаси улар уч марта чақирилди.,True
306891,They fought for freedom of religion.,397226,Улар диний этиқод эркинлиги учун курашди.,True
313695,She's not at home now.,424488,У хозир уйда йўқ.,True
313707,She is writing a letter now.,397629,У ҳозир хат ёяпти.,True
315238,She is good-natured.,426387,У хуштабиат.,True
326004,"For example, this is a pen.",506186,"Масалан, бу ручка бўлади.",True
373330,Hello!,509816,Салам.,True
375822,What happened?,424092,Нима гап?,True
375822,What happened?,425092,Нима ҳодиса бўлди?,True
392269,Life's a ruin without you.,423866,Сенсиз хайот барбод.,True
394894,What's the matter?,424100,Нима бўлди?,True
397202,"Don't wilt away, love.",423869,"Хазон бўлма, мухаббат.",True
403138,But the coffee's not good.,528702,Аммо кофе яхши эмас.,True
410907,Where are my watches?,424002,Менинг соатларим қани?,True
410908,Where are my clocks?,423994,Соатларим қани?,True
410908,Where are my clocks?,424002,Менинг соатларим қани?,True
413821,What's this?,423991,Бу нарса нима?,True
423309,I'll go on living without you.,423870,Сенсиз яшайман.,True
423332,It's you I've come for.,423871,Сен учун келдим.,True
423332,It's you I've come for.,423872,Сиз учун келдим.,True
423332,It's you I've come for.,423873,Сизлар учун келдим.,True
423863,I fell ill last year.,423874,Мен бултур касал бўлдим.,True
424408,I have two older sisters.,424406,Икки опам бор.,True
425110,"My father is a hard-working, straightforward, and modest person.",425118,"Атам уринчоқ, шартаки, камтар киши.",True
425110,"My father is a hard-working, straightforward, and modest person.",425119,"Дадам уринчоқ, шартаки, камтар киши.",True
425148,We often play chess.,425153,Биз кўпинча шахмат ўйнаймиз.,True
425336,This sentence isn't written clearly.,425338,Бу жумла аниқ йозилган эмас.,True
425483,You can come in.,425486,Кириш мумкин.,True
426015,They live in a good environment.,426016,Улар яхши муҳитда яшайдилар.,True
426389,He is good-natured.,426387,У хуштабиат.,True
426398,That was a lie.,426405,У ёлғон гап иди.,True
426420,An enemy of an enemy is a friend.,426425,Душманнинг душмани дўст.,True
426479,"No song, no supper.",426474,Ишламаган тишламас.,True
426697,It wasn't real love.,426695,У ёлғон мухаббат иди.,True
426710,Pay attention!,426714,Диққат қил!,True
426710,Pay attention!,426715,Диққат қилинг!,True
426710,Pay attention!,426716,Диққат қилинглар!,True
427027,I don't know the details.,427040,Тафсилотларни билмайман.,True
427027,I don't know the details.,427041,Мен тафсилотларни билмайман.,True
431093,This is Cao Cao's trickery.,431098,Бу Цао Цаонинг қилвирлики.,True
433614,I don't have any money.,528657,Менинг пулим йўқ.,True
438599,This is made in Kazakhstan.,438596,Бу Қазақстанда ясалған.,True
448645,Thanks!,397717,Раҳмат!,True
456087,It depends on the weather.,493646,У об-хавога боғлиқ.,True
460850,He's Taro's younger brother.,460849,У Таронинг укаси.,True
460851,He is Taro's older brother.,460848,У Таронинг акаси.,True
464151,"Next to China, Switzerland is an abandoned village.",464157,"Хитойға қарағанда, Швейцария бир тарк этилган қишлоқ бўлади.",True
465502,Sleeping on a carpet is great.,465510,Гиламда ухлаш жуда яхши!,True
473758,For health and pleasure!,473748,Соғлиқ ва лаззат учун!,True
476587,This is my question.,476599,Бу менинг саволим.,True
490840,We sugar our tea.,490839,Чойни қанд билан ичамиз.,True
490841,We drink our tea with sugar.,490839,Чойни қанд билан ичамиз.,True
490842,We put sugar in our tea.,490839,Чойни қанд билан ичамиз.,True
490843,We take our tea with sugar.,490839,Чойни қанд билан ичамиз.,True
493016,"Teacher, I will write it in pen.",493014,"Муаллим, мен ручка билан ёзаман.",True
499689,Good afternoon.,3600758,Хайрли кун.,True
499739,The child bears a closer resemblance to his mother.,499736,Бола кўпроқ онасига ўхшайди.,True
504297,This must be changed.,504295,Бу ишни ёзгартириш керак.,True
506177,Victory is on our side.,506174,Ғалаба биз томонда бўлади.,True
508620,You're the love of my life.,508617,Сен менинг жонгинам.,True
510213,Is Mother scolding the horse?,510217,Онам отға койияптими?,True
521350,Tufts is the most dangerous university in the world.,521360,Тафтс дунёнинг энг хавфли университети.,True
521636,My soul is in the sky.,521634,Қалбим осмонида.,True
528755,Health is more important than wealth.,528762,Саломатлик бойликдан муҳим.,True
532980,You and Emet are the only ones still here.,532977,Бу ерда фақат сен ва Эмет қолди.,True
535947,"He told me that, without me, this life had nothing of interest for him.",535939,"У менга сенсиз, бу ҳаёт менга қизиқмас деди.",True
535949,"She told me that, without me, this life had nothing of interest for her.",535939,"У менга сенсиз, бу ҳаёт менга қизиқмас деди.",True
538123,Hi.,509816,Салам.,True
540494,Wang Lao Ji isn't beer. It's tea.,540504,"Ванг Лао Жи пиво эмас, чай.",True
541871,He's my first love.,541868,У менинг биринчи муҳаббатим.,True
541872,She's my first love.,541868,У менинг биринчи муҳаббатим.,True
541879,"Forgive me, my love.",541876,Кечир мени муҳаббатим.,True
543670,There are only 80 Uyghurs in Switzerland.,543674,Швейцарияда фақат 80 уйғур бор.,True
543996,We don't have sugar.,544074,Бизда шакар йўқ.,True
545991,"Michael is a man's name, but ""Michelle"" is a woman's name.",545996,"«Михаил» эркак исми, лекин «Мишел» аёл исми.",True
547428,"Measure thrice, cut once.",547436,"Уч марта ўлчаб, бир марта кес.",True
550920,"I have a son and a daughter. My son is in New York, and my daughter is in London.",550926,"Менинг бир ўғлим ва бир қизим бор. Ўғлим Нью Йоркда, қизим Лондонда.",True
556739,Don't undo your bootlaces until you have seen the river.,559027,Сув кўрмай этик ечма.,True
569517,"Step 1. Heat the vegetable oil (0.5L) (any grease or a mixture of oil and grease) in the pot on high heat, add sliced onions (400g), fry until the onions take a yellow color, then add meat (any kind) (1kg).",569532,"Биринчи қадам: 0,5 литр ўсимлик мойи (ҳар қандай ёғ ёки ўсимлик мойи билан ёғ арашмаси) қаттиқ оловда қозонда қиздирилади. Тўғралган риёз (400гр) қўшиб у сариқ рангга киргунча қовурилади, гўшт солинади (ҳар қандай) (1 кило).",True
678047,"Sysko, will you fix the Uzbek transliteration tomorrow?",678040,"Sysko, эртага ўзбек транслитерациясини тўғрилайсанми?",True
927445,He's a philanderer.,3671283,У хотинбоз.,True
1876041,Thank you.,397717,Раҳмат!,True
2011435,Nobody wants a war.,2774228,Кимса бир уруш истаяпти.,True
1284919,Today I am very tired.,2091675,Бугун кӯп ишладим.,True
3663249,There are islands in the sea.,3666870,Денгизда ороллар бўлади.,True
3663249,There are islands in the sea.,3666875,Денгизда ороллар бор.,True
2566189,My name is Emily.,3714399,Менинг исмим Эмили.,True
1113705,I've always loved you.,3720623,Мен сени ҳар доим севдим.,True
258994,I'm not a student.,3744434,Мен талаба эмасман.,True
741262,I'm not a pupil.,3744440,Мен ўқувчи эмасман.,True
885394,I'm not a magician.,3744445,Мен сеҳргар эмасман.,True
3742897,The house is in the village.,3745332,Уй қишлоқда.,True
3740406,We're speaking Turkmen.,3745333,Биз туркманча гапиряпмиз.,True
3172726,The woman wants to know the truth.,3746876,Аёл ҳақиқатни билмоқчи.,True
3172725,The man wants to know the truth.,3746877,Одам ҳақиқатни билмоқчи.,True
3225874,There are students in the library.,3746878,Кутубхонада талабалар бор.,True
2712260,This house will exist.,3746880,Бу уй мавжуд бўлади.,True
3172727,The boy wants to know the truth.,3746881,Бола ҳақиқатни билмоқчи.,True
3172728,The girl wants to know the truth.,3746884,Қиз ҳақиқатни билмоқчи.,True
1841684,I don't want to go.,3746888,Мен бормоқчи эмасман.,True
256628,I don't want to go out.,3746897,Ташқарига чиқмоқчи эмасман.,True
256628,I don't want to go out.,3746898,Мен ташқарига чиқмоқчи эмасман.,True
2012114,I don't want to go there.,3746901,У ерга бормоқчи эмасман.,True
1860,I don't want to go to school.,3746903,Мактабга бормоқчи эмасман.,True
718925,I don't want to go to bed.,3746907,Ухлашга ётмоқчи эмасман.,True
3749362,There are many pictures in this book.,3751360,Бу китобда кўп расмлар бор.,True
46434,The girl had a large red hat on.,3751361,Қизнинг бошида катта қизил шляпа бор эди.,True
3651741,I like chicken.,3758603,Менга товуқ ёқади.,True
3719059,There are fish in the sea.,3762795,Денгизда балиқлар бор.,True
2233697,This is impossible.,425121,Имкон йўқ.,True
322105,I am reading a book.,3945673,Мен китоб ўқияпман.,True
452769,Who's this?,438592,Бу ким?,True
9499240,"I'll help you, of course.",493789,Албатта сизларга ёрдам бераман.,True
2332108,I'm not a teacher.,9642651,Ўқитувчи эмасман.,True
12194257,They deceived me.,13904550,Мен,True
