src_lang,tgt_lang,source,reference,prediction,latency
uz,en,Xayrli tun.,Good night.,idagi tun.,0.041689157485961914
uz,en,Laurie qayerda?,Where is Laurie?,idagi Laurie?,0.03955721855163574
uz,en,Men och edim.,I was hungry.,idagi edim.,0.04442572593688965
uz,en,Mening soatlarim qani?,Where are my watches?,vlarim qani?,0.051665544509887695
uz,en,Juda antigigiyenik bo‘lganidan jamoat hojatxonalaridan foydalanishni rad etaman.,"I refuse to use public restrooms, as they are very unhygienic.",idagi juda antikigiyenik bo‘liqidan qo‘yot hojatxonalaridan qo‘ymaydi.,0.17164015769958496
uz,en,Kitoblar qayerda?,Where are the books?,bilan qaytadi?,0.06668734550476074
uz,en,Qishloq joyida yashayman.,I live in a rural area.,idagi joyida yashayman.,0.07248044013977051
uz,en,Pivo ichasizmi?,Do you drink beer?,bilan yoqisizmi?,0.06411147117614746
uz,en,Mening bir do'stim bor.,I have a friend.,idagi bir do'stim bor.,0.05317044258117676
uz,en,Kitobingiz stol ustida.,Your book is on the desk.,bilan tavsiya qilmaydi.,0.0440976619720459
uz,en,Nega itlarni shunchalik yomon ko‘rasan?,Why do you hate dogs so much?,bilan shunchalik yomon ko‘rasan?,0.06722879409790039
uz,en,Bir xatni o'qidim.,I read a letter.,bilan o‘zim.,0.051190853118896484
uz,en,Uyingiz bormi?,Do you have a house?,bilan bormi?,0.036016225814819336
uz,en,"Bugun, men osh pishirishni hohlayman.","Today, I want to cook pilaf.",", men yaxshi pishirishi hohlayman.",0.07606053352355957
uz,en,Men bultur kasal bo'ldim.,I fell ill last year.,bilan bo‘lmaydi.,0.04644632339477539
uz,en,Qancha pul istaysan?,How much money do you want?,bilan nima qilasizmi?,0.043775320053100586
uz,en,Men kitob o‘qishni yaxshi ko‘raman.,I like to read books.,idagi o‘shaq o‘shaq o‘shaq o‘shaq.,0.10658788681030273
uz,en,Hayirli tong.,Good morning.,idagi Tong.,0.03174304962158203
uz,en,Qotibqobsanku!,You are drunk!,bilan!,0.0354464054107666
uz,en,Nimaga ishonasiz?,What do you believe in?,bilan nima?,0.03906655311584473
uz,en,Bu it emas.,This is not a dog.,bilan emas.,0.03428936004638672
uz,en,Bungacha men taksi haydovchisi bo'lib ishlaganman.,"Before this, I worked as a cab driver.",idagi taksi haydovlarni bo'lib ishlaganman.,0.0799262523651123
uz,en,Siz mening qushlarimni ko'rmadingizmi?,Didn't you see my birds?,bilan siz qushlarimni ko'rmadingizmi?,0.08074140548706055
uz,en,Itim o'zg'ir.,My dog is fast.,bilan o‘z.,0.04184246063232422
uz,en,Qancha pul xohlaysiz?,How much money do you want?,bilan qaytadi?,0.03488445281982422
uz,en,Uying bormi?,Do you have a house?,idagi bormi?,0.03578782081604004
uz,en,Kim bilan gaplashishni xohlaysan?,Who do you want to speak to?,bilan kim bilan gaplashishni xohlaysan?,0.06953620910644531
uz,en,Men uni imzolashni xohlamayman.,I don't want to sign it.,idagi bir-birini yetkazmayman.,0.06644678115844727
uz,en,Hush keldingiz!,Welcome.,bilan qilmaydi!,0.039536476135253906
uz,en,Faqat birinchi tarjimani o‘qidim.,I read only the first translation.,idagi ilk tarjimani o‘qiyim.,0.06894183158874512
uz,en,Hindistonda yashayman.,I live in India.,idagi indi yashayman.,0.04829216003417969
uz,en,O'yinni yutdingizmi?,Did you win the match?,bilan o‘zingizmi?,0.05532479286193848
uz,en,Qirolichani ko'rdim.,I saw the queen.,idagi qirolichani ko'rdim.,0.06119251251220703
uz,en,Ayollarning basketbol komandasining erkak murabbiyi bor.,The women's basketball team has a male coach.,idagi basketbol komandasi erak murabbiy bor.,0.0713505744934082
uz,en,Sen ham kelolasan.,"You can come, too.",bilan ham qilmaydi.,0.03984665870666504
uz,en,Men vrach emasman.,I'm not a doctor.,idagi emasman.,0.038099050521850586
uz,en,Mahmud bekor yurishni yoqtirmaydi.,Mahmud abhors being idle.,", Mahmud bekor yurishini yoqtirmaydilar.",0.08543276786804199
uz,en,Tom bolalarning e’tiborini jalb qilishga harakat qildi.,Tom tried to catch the children's attention.,idagi Tom bolligi e’liqini jalb qilishga qo‘ydilar.,0.10110163688659668
uz,en,Menga kalitlarim kerak.,I need my keys.,bilan nima qilaman.,0.05492234230041504
uz,en,Dunyoni kim boshqaradi?,Who rules the world?,bilan kim qilmaydi?,0.04004049301147461
uz,en,Bu suratda qancha qiz bor?,How many girls are in this picture?,bilan bu suratda qarcha qiz bor?,0.06082463264465332
