review_id,row_id,pair_id,src_lang,tgt_lang,source_text,target_text,data_source,data_type,source_file,source_text_raw,target_text_raw,source_text_normalized,target_text_normalized,source_word_count,target_word_count,source_char_count,target_char_count,uz_has_cyrillic,normalized_empty,length_ratio,normalized_pair_id,occurrence_count,source_count,data_sources,source_files,source_file_count,multi_source_consensus,repeated_pair,benchmark_leak,valid_word_length,valid_char_length,valid_length_ratio,latin_uzbek,reject_reason,step03_pass,source_families,source_family_count,source_numbers,target_numbers,source_times,target_times,source_dates,target_dates,number_consistent,time_consistent,date_consistent,url_consistent,email_consistent,source_has_negation,target_has_negation,negation_consistent,source_target_same,control_chars,repeated_punctuation,source_letter_ratio,target_letter_ratio,risk_flags,risk_count,quality_score,pipeline_route,review_type,length_bucket
review_000001,14,910e63bb935dc7c21e6bd04baa73380621803e13,en,uz,"If you want to use Demo Account, click ""REAL ACCOUNT"" and select ""DEMO ACCOUNT"" to start trading with $10,000 in Demo Account.","Agar siz demo hisob qaydnomasidan foydalanmoqchi bo‘lsangiz, demo hisob qaydnomasida 10 000 AQSh dollari bilan savdo qilishni boshlash uchun “REAL ACCOUNT” tugmasini bosing va “DEMO ACCOUNT” ni tanlang.",hplt,parallel_existing,data\clean\en_uz\hplt\hplt_en_uz_10k_clean.csv,"If you want to use Demo Account, click ""REAL ACCOUNT"" and select ""DEMO ACCOUNT"" to start trading with $10,000 in Demo Account.","Agar siz demo hisob qaydnomasidan foydalanmoqchi bo‘lsangiz, demo hisob qaydnomasida 10 000 AQSh dollari bilan savdo qilishni boshlash uchun “REAL ACCOUNT” tugmasini bosing va “DEMO ACCOUNT” ni tanlang.","If you want to use Demo Account, click ""REAL ACCOUNT"" and select ""DEMO ACCOUNT"" to start trading with $10,000 in Demo Account.","Agar siz demo hisob qaydnomasidan foydalanmoqchi bo'lsangiz, demo hisob qaydnomasida 10 000 AQSh dollari bilan savdo qilishni boshlash uchun ""REAL ACCOUNT"" tugmasini bosing va ""DEMO ACCOUNT"" ni tanlang.",23,28,126,202,False,False,0.6237623762376238,880a7018c8e585449ecc3984a369838d32cc43e6,1,1,hplt,data\clean\en_uz\hplt\hplt_en_uz_10k_clean.csv,1,False,False,False,True,True,True,True,,True,hplt,1,"[""10.000""]","[""000"", ""10""]",[],[],[],[],False,True,True,True,True,False,False,True,False,False,False,0.7301587301587301,0.8118811881188119,NUMBER_MISMATCH,1,65.0,NEEDS_QWEN,RISK_REVIEW,
review_000002,18,b5cb7b783bdb6dca86fc5fc45be6582c9b7baccb,en,uz,"You will have $10,000 in Demo account.",Sizda demo hisob qaydnomasida 10 000 dollar bo‘ladi.,hplt,parallel_existing,data\clean\en_uz\hplt\hplt_en_uz_10k_clean.csv,"You will have $10,000 in Demo account.",Sizda demo hisob qaydnomasida 10 000 dollar bo‘ladi.,"You will have $10,000 in Demo account.",Sizda demo hisob qaydnomasida 10 000 dollar bo'ladi.,8,8,38,52,False,False,0.7307692307692307,c17ed4db0c8810bb78dcab5bb9fc3fa63035cc98,1,1,hplt,data\clean\en_uz\hplt\hplt_en_uz_10k_clean.csv,1,False,False,False,True,True,True,True,,True,hplt,1,"[""10.000""]","[""000"", ""10""]",[],[],[],[],False,True,True,True,True,False,False,True,False,False,False,0.631578947368421,0.75,NUMBER_MISMATCH,1,65.0,NEEDS_QWEN,RISK_REVIEW,
review_000003,27,3c0bb344b438ce74178036ba75f5385aaed18ec9,en,uz,"In 1865, its discovery was used by surgeon Joseph Lister, who used Pasteur's knowledge to eliminate microorganisms present in wounds and surgical incisions.","1865 yilda uning kashfiyoti jarroh Jozef Lister tomonidan ishlatilgan, u Pasterning bilimlaridan yaralar va jarrohlik kesmalarda mavjud bo'lgan mikroorganizmlarni yo'q qilish uchun foydalangan.",hplt,parallel_existing,data\clean\en_uz\hplt\hplt_en_uz_10k_clean.csv,"In 1865, its discovery was used by surgeon Joseph Lister, who used Pasteur's knowledge to eliminate microorganisms present in wounds and surgical incisions.","1865 yilda uning kashfiyoti jarroh Jozef Lister tomonidan ishlatilgan, u Pasterning bilimlaridan yaralar va jarrohlik kesmalarda mavjud bo'lgan mikroorganizmlarni yo'q qilish uchun foydalangan.","In 1865, its discovery was used by surgeon Joseph Lister, who used Pasteur's knowledge to eliminate microorganisms present in wounds and surgical incisions.","1865 yilda uning kashfiyoti jarroh Jozef Lister tomonidan ishlatilgan, u Pasterning bilimlaridan yaralar va jarrohlik kesmalarda mavjud bo'lgan mikroorganizmlarni yo'q qilish uchun foydalangan.",23,23,156,193,False,False,0.8082901554404145,3c0bb344b438ce74178036ba75f5385aaed18ec9,1,1,hplt,data\clean\en_uz\hplt\hplt_en_uz_10k_clean.csv,1,False,False,False,True,True,True,True,,True,hplt,1,"[""1865""]","[""1865""]",[],[],[],[],True,True,True,True,True,False,True,False,False,False,False,0.8141025641025641,0.8549222797927462,NEGATION_MISMATCH,1,65.0,NEEDS_QWEN,RISK_REVIEW,
review_000004,29,bd544b930b6ab8972761e2ca246ddef5cea89bd8,en,uz,No matter where you FAST and Best Online Casino with the largest bonuses and jackpots?,"Qat'i nazar, qaerda eng yirik bonuslar va bonuslar bilan sizga tez va eng yaxshi Onlayn Casino?",hplt,parallel_existing,data\clean\en_uz\hplt\hplt_en_uz_10k_clean.csv,No matter where you FAST and Best Online Casino with the largest bonuses and jackpots?,"Qat'i nazar, qaerda eng yirik bonuslar va bonuslar bilan sizga tez va eng yaxshi Onlayn Casino?",No matter where you FAST and Best Online Casino with the largest bonuses and jackpots?,"Qat'i nazar, qaerda eng yirik bonuslar va bonuslar bilan sizga tez va eng yaxshi Onlayn Casino?",15,16,86,95,False,False,0.9052631578947369,bd544b930b6ab8972761e2ca246ddef5cea89bd8,1,1,hplt,data\clean\en_uz\hplt\hplt_en_uz_10k_clean.csv,1,False,False,False,True,True,True,True,,True,hplt,1,[],[],[],[],[],[],True,True,True,True,True,True,False,False,False,False,False,0.8255813953488372,0.8210526315789474,NEGATION_MISMATCH,1,65.0,NEEDS_QWEN,RISK_REVIEW,
review_000005,36,c1161912d757b37d3af31edfed5242a29e4140d3,en,uz,"This causes heading, even if the materials do not have any of the magnetic properties usually associated with iron and steel.","Materiallar odatda temir va po'lat bilan bog'liq bo'lgan magnit xususiyatlarga ega bo'lmasa ham, bu sarlavhani keltirib chiqaradi.",hplt,parallel_existing,data\clean\en_uz\hplt\hplt_en_uz_10k_clean.csv,"This causes heading, even if the materials do not have any of the magnetic properties usually associated with iron and steel.","Materiallar odatda temir va po'lat bilan bog'liq bo'lgan magnit xususiyatlarga ega bo'lmasa ham, bu sarlavhani keltirib chiqaradi.","This causes heading, even if the materials do not have any of the magnetic properties usually associated with iron and steel.","Materiallar odatda temir va po'lat bilan bog'liq bo'lgan magnit xususiyatlarga ega bo'lmasa ham, bu sarlavhani keltirib chiqaradi.",21,17,125,130,False,False,0.9615384615384616,c1161912d757b37d3af31edfed5242a29e4140d3,2,1,hplt,data\clean\en_uz\hplt\hplt_en_uz_10k_clean.csv|data\clean\en_uz\hplt\hplt_en_uz_manual_review_50.csv,2,False,True,False,True,True,True,True,,True,hplt,1,[],[],[],[],[],[],True,True,True,True,True,True,False,False,False,False,False,0.824,0.8615384615384616,NEGATION_MISMATCH,1,65.0,NEEDS_QWEN,RISK_REVIEW,
review_000006,37,39a888e1d7c8feda5c7e3375748b14cf4b41fc1d,en,uz,"Examples are copper, brass, aluminum, zirconium, nonmagnetic stainless steel, and uranium.","Masalan, mis, guruch, alyuminiy, zirkonyum, magnit bo'lmagan zanglamaydigan po'lat va uran.",hplt,parallel_existing,data\clean\en_uz\hplt\hplt_en_uz_10k_clean.csv,"Examples are copper, brass, aluminum, zirconium, nonmagnetic stainless steel, and uranium.","Masalan, mis, guruch, alyuminiy, zirkonyum, magnit bo'lmagan zanglamaydigan po'lat va uran.","Examples are copper, brass, aluminum, zirconium, nonmagnetic stainless steel, and uranium.","Masalan, mis, guruch, alyuminiy, zirkonyum, magnit bo'lmagan zanglamaydigan po'lat va uran.",11,11,90,91,False,False,0.989010989010989,39a888e1d7c8feda5c7e3375748b14cf4b41fc1d,1,1,hplt,data\clean\en_uz\hplt\hplt_en_uz_10k_clean.csv,1,False,False,False,True,True,True,True,,True,hplt,1,[],[],[],[],[],[],True,True,True,True,True,False,True,False,False,False,False,0.8222222222222222,0.8241758241758241,NEGATION_MISMATCH,1,65.0,NEEDS_QWEN,RISK_REVIEW,
review_000007,59,616a1b00200c0c81502a341ee493d4d4090e0fdb,en,uz,"Osmotic Pressure is often given as the negative of the Osmotic Potential(or Solute Potential) of the Cell.(Because more the solute, more pressure will be required to stop the osmosis, but against the gradient).","Osmotik bosim ko'pincha hujayraning osmotik potentsialining (yoki erigan moddaning potentsialining) manfiy qiymati sifatida beriladi. (Chunki ko'proq erigan modda, osmozni to'xtatish uchun ko'proq bosim talab qilinadi, lekin gradientga qarshi). (1)",hplt,parallel_existing,data\clean\en_uz\hplt\hplt_en_uz_10k_clean.csv,"Osmotic Pressure is often given as the negative of the Osmotic Potential(or Solute Potential) of the Cell.(Because more the solute, more pressure will be required to stop the osmosis, but against the gradient).","Osmotik bosim ko'pincha hujayraning osmotik potentsialining (yoki erigan moddaning potentsialining) manfiy qiymati sifatida beriladi. (Chunki ko'proq erigan modda, osmozni to'xtatish uchun ko'proq bosim talab qilinadi, lekin gradientga qarshi). (1)","Osmotic Pressure is often given as the negative of the Osmotic Potential(or Solute Potential) of the Cell.(Because more the solute, more pressure will be required to stop the osmosis, but against the gradient).","Osmotik bosim ko'pincha hujayraning osmotik potentsialining (yoki erigan moddaning potentsialining) manfiy qiymati sifatida beriladi. (Chunki ko'proq erigan modda, osmozni to'xtatish uchun ko'proq bosim talab qilinadi, lekin gradientga qarshi). (1)",35,29,210,248,False,False,0.8467741935483871,616a1b00200c0c81502a341ee493d4d4090e0fdb,1,1,hplt,data\clean\en_uz\hplt\hplt_en_uz_10k_clean.csv,1,False,False,False,True,True,True,True,,True,hplt,1,[],"[""1""]",[],[],[],[],False,True,True,True,True,False,False,True,False,False,False,0.8095238095238095,0.842741935483871,NUMBER_MISMATCH,1,65.0,NEEDS_QWEN,RISK_REVIEW,
review_000008,63,2cdfc5d1f751319a9b67b00cd2261a42ac4ce5c1,en,uz,"Pressure Potential(Psi P): Hydrostatic Pressure, i.e, pressure exerted by the water present inside a cell if there were no solute particles.","Bosim potentsiali (Psi P): Gidrostatik bosim, ya'ni erigan zarrachalar bo'lmasa, hujayra ichida mavjud bo'lgan suvning bosimi.",hplt,parallel_existing,data\clean\en_uz\hplt\hplt_en_uz_10k_clean.csv,"Pressure Potential(Psi P): Hydrostatic Pressure, i.e, pressure exerted by the water present inside a cell if there were no solute particles.","Bosim potentsiali (Psi P): Gidrostatik bosim, ya'ni erigan zarrachalar bo'lmasa, hujayra ichida mavjud bo'lgan suvning bosimi.","Pressure Potential(Psi P): Hydrostatic Pressure, i.e, pressure exerted by the water present inside a cell if there were no solute particles.","Bosim potentsiali (Psi P): Gidrostatik bosim, ya'ni erigan zarrachalar bo'lmasa, hujayra ichida mavjud bo'lgan suvning bosimi.",23,16,140,126,False,False,1.1111111111111112,2cdfc5d1f751319a9b67b00cd2261a42ac4ce5c1,1,1,hplt,data\clean\en_uz\hplt\hplt_en_uz_10k_clean.csv,1,False,False,False,True,True,True,True,,True,hplt,1,[],[],[],[],[],[],True,True,True,True,True,True,False,False,False,False,False,0.8071428571428572,0.8333333333333334,NEGATION_MISMATCH,1,65.0,NEEDS_QWEN,RISK_REVIEW,
review_000009,64,7625a25b500f622162218eff9c1b6b2127ef2473,en,uz,The model is replaced by Type 506 / 04 A1.,Model Type 506 / 03 AM bilan almashtirilgan.,hplt,parallel_existing,data\clean\en_uz\hplt\hplt_en_uz_10k_clean.csv,The model is replaced by Type 506 / 04 A1.,Model Type 506 / 03 AM bilan almashtirilgan.,The model is replaced by Type 506 / 04 A1.,Model Type 506 / 03 AM bilan almashtirilgan.,9,7,42,44,False,False,0.9545454545454546,7625a25b500f622162218eff9c1b6b2127ef2473,1,1,hplt,data\clean\en_uz\hplt\hplt_en_uz_10k_clean.csv,1,False,False,False,True,True,True,True,,True,hplt,1,"[""04"", ""506""]","[""03"", ""506""]",[],[],[],[],False,True,True,True,True,False,False,True,False,False,False,0.5952380952380952,0.6818181818181818,NUMBER_MISMATCH,1,65.0,NEEDS_QWEN,RISK_REVIEW,
review_000010,69,30a5b950665e56d7c51bb30fe965e59c0dd3411a,en,uz,Some zones in the ocean that are larger than land continents are called ‘death zone’ where no fish can live.,"Okeandagi quruqlikdagi qit'alardan kattaroq bo'lgan ba'zi zonalar baliq yashay olmaydigan ""o'lim zonasi"" deb ataladi.",hplt,parallel_existing,data\clean\en_uz\hplt\hplt_en_uz_10k_clean.csv,Some zones in the ocean that are larger than land continents are called ‘death zone’ where no fish can live.,"Okeandagi quruqlikdagi qit'alardan kattaroq bo'lgan ba'zi zonalar baliq yashay olmaydigan ""o'lim zonasi"" deb ataladi.",Some zones in the ocean that are larger than land continents are called 'death zone' where no fish can live.,"Okeandagi quruqlikdagi qit'alardan kattaroq bo'lgan ba'zi zonalar baliq yashay olmaydigan ""o'lim zonasi"" deb ataladi.",20,14,108,117,False,False,0.9230769230769231,be9a701afb6cfb00ff4e1a439db4e20b1bfdbf98,1,1,hplt,data\clean\en_uz\hplt\hplt_en_uz_10k_clean.csv,1,False,False,False,True,True,True,True,,True,hplt,1,[],[],[],[],[],[],True,True,True,True,True,True,False,False,False,False,False,0.8148148148148148,0.8632478632478633,NEGATION_MISMATCH,1,65.0,NEEDS_QWEN,RISK_REVIEW,
