pair_id,en,uz,en_sentence_id,uz_sentence_id,src_doc_id,tgt_doc_id,lang_pair,aligner_score,bicleaner_score,bifixer_score,dataset,dataset_revision,en_chars,uz_chars
hplt_00000000,"Good place, where you can wait for the, that will never happen.","Yaxshi joy, qaerda kutish mumkin, bu hech qachon bo'lmaydi.",5.9,5.5,http___8cosmos.com_en_moskow__1.xml,http___8cosmos.com_uz_moskow__1.xml,en-uz,0.6324939727783203,0.9990000128746033,0.9158999919891357,HPLT/DocHPLT,1c94ae042138c768caccb3cbc27f5d974a66ea0f,63,59
hplt_00000001,- Faculty of Engineering,- Quruvchilik fakulteti,6.1,6.1,http___en.wikipedia.org_wiki_British_University_in_Egypt.xml,http___uz.wikipedia.org_wiki_Riga_texnika_universiteti_1.xml,en-uz,0.5492050051689148,0.9800000190734863,0.9502000212669373,HPLT/DocHPLT,1c94ae042138c768caccb3cbc27f5d974a66ea0f,24,23
hplt_00000002,- They live mainly in woodland and forest regions.,- Ular asosan o'rmon va o'rmon mintaqalarida istiqomat qilishadi.,7.1,7.1,https___gh.dualjuridik.org_136-lacertilles.html.xml,https___uz.dualjuridik.org_136-lacertilles.html_1.xml,en-uz,0.8366600275039673,0.9869999885559082,0.9340000152587891,HPLT/DocHPLT,1c94ae042138c768caccb3cbc27f5d974a66ea0f,50,65
hplt_00000003,"However, species can be found in desert regions.","Biroq, turlarni cho'l hududlarida topish mumkin.",7.2,7.2,https___gh.dualjuridik.org_136-lacertilles.html.xml,https___uz.dualjuridik.org_136-lacertilles.html_1.xml,en-uz,0.8366600275039673,0.9990000128746033,0.9420999884605408,HPLT/DocHPLT,1c94ae042138c768caccb3cbc27f5d974a66ea0f,48,48
hplt_00000004,- They have long tails and slender bodies.,- Ularning uzun quyruqlari va ingichka tanalari bor.,9.1,9.1,https___gh.dualjuridik.org_136-lacertilles.html.xml,https___uz.dualjuridik.org_136-lacertilles.html_1.xml,en-uz,0.8164970278739929,0.9940000176429749,0.9305999875068665,HPLT/DocHPLT,1c94ae042138c768caccb3cbc27f5d974a66ea0f,42,52
hplt_00000005,- Lacerticles feed mainly on insects.,- Lacerticles asosan hasharotlar bilan oziqlanadi.,11.1,11.1,https___gh.dualjuridik.org_136-lacertilles.html.xml,https___uz.dualjuridik.org_136-lacertilles.html_1.xml,en-uz,1.0,0.9929999709129333,0.9434000253677368,HPLT/DocHPLT,1c94ae042138c768caccb3cbc27f5d974a66ea0f,37,50
hplt_00000006,Some species eat seeds.,Ba'zi turlari urug'larni eyishadi.,11.2,11.2,https___gh.dualjuridik.org_136-lacertilles.html.xml,https___uz.dualjuridik.org_136-lacertilles.html_1.xml,en-uz,0.7080730199813843,0.9990000128746033,0.939300000667572,HPLT/DocHPLT,1c94ae042138c768caccb3cbc27f5d974a66ea0f,23,34
hplt_00000007,"AAAA is widely recognized by city, contea, state and federal officials as well as by civic organizations.","AAAA keng shahar tomonidan e'tirof etilgan, tuman, davlat va federal mansabdor shaxslar, shuningdek tomonidan fuqarolik tashkilotlar.",3.1,3.1,http___aaaa-az.org_about-aaaa__lang_it.xml,http___aaaa-az.org_about-aaaa__lang_uz_1.xml,en-uz,0.6969469785690308,0.9980000257492065,0.9370999932289124,HPLT/DocHPLT,1c94ae042138c768caccb3cbc27f5d974a66ea0f,105,133
hplt_00000008,"Membership in this Association is open to any person, regardless of citizenship, race, religion, sex, nationality or country of origin.","Bu Assotsiatsiyaga a'zolik har qanday kishi uchun ochiq, qat'i nazar fuqaroligini, irq, din, jins, millati yoki kelib chiqishi mamlakat.",7.1,7.1,http___aaaa-az.org_about-aaaa__lang_it.xml,http___aaaa-az.org_about-aaaa__lang_uz_1.xml,en-uz,0.5991500020027161,0.9990000128746033,0.9369999766349792,HPLT/DocHPLT,1c94ae042138c768caccb3cbc27f5d974a66ea0f,135,136
hplt_00000009,- To promote social and cultural events in order to share our ethnic heritage with other Americans and to foster public awareness of our cultural diversity.,- Boshqa amerikaliklar bilan etnik merosini baham uchun ijtimoiy va madaniy tadbirlarni qo'llab-quvvatlash uchun va bizning madaniy xilma-xilligi ijtimoiy ongi da'vat qilish.,13.1,13.1,http___aaaa-az.org_about-aaaa__lang_it.xml,http___aaaa-az.org_about-aaaa__lang_uz_1.xml,en-uz,0.5699059963226318,0.9990000128746033,0.9531000256538391,HPLT/DocHPLT,1c94ae042138c768caccb3cbc27f5d974a66ea0f,156,174
