review_id,pair_id,sample_group,en,uz,aligner_score,bicleaner_score,bifixer_score,length_ratio,risk_score,risk_flags,manual_label,manual_notes,llm_label,llm_confidence,llm_adequacy,llm_en_language_ok,llm_uz_language_ok,llm_reason,llm_model,llm_error
3,hplt_00002549,high_risk,Preset support.,Oldindan o'rnatilgan qo'llab -quvvatlash .,0.5773500204086304,0.8149999976158142,0.9616000056266784,2.8,11,length_ratio|very_short|low_aligner|low_bicleaner,,,correct,0.9,4,True,True,预设支持翻译准确，意思完全一致。,qwen-max,
4,hplt_00005357,random_control,Unlike chat rouletteson other platforms you can talk to random people and still be in control of the situation!,"Ruletka chatidan farqli o'laroq, siz tasodifiy odamlar bilan gaplashishingiz va vaziyatni nazorat qilishingiz mumkin!",0.5178560018539429,0.9950000047683716,0.9682000279426576,1.054054054054054,4,low_aligner,,,correct,0.9,4,True,True,句子的意思得到了准确的传达，尽管有一些小的词汇变化，但不影响整体理解。,qwen-max,
5,hplt_00007972,random_control,The journey will take about 5 minutes.,Safar taxminan 5 daqiqa davom etadi.,0.6549760103225708,0.9760000109672546,0.9226999878883362,1.0555555555555556,0,,,,correct,0.9,4,True,True,旅程大约需要5分钟的信息在两种语言中都被准确地表达了出来。,qwen-max,
6,hplt_00002483,random_control,"Another example: In case of increased body temperature, the sweat glands are caused to release more sweat; for they receive the command of nerve impulses; In this way the body is cooled.",Yana bir misol: tana harorati ko'tarilgan taqdirda ter bezlari ko'proq ter chiqarishga olib keladi; chunki ular nerv impulslari buyrug'ini olishadi; Shu tarzda tana soviydi.,0.5305950045585632,1.0,0.9370999932289124,1.0751445086705202,4,low_aligner,,,correct,0.9,4,True,True,句子意思忠实保留，表达自然。,qwen-max,
9,hplt_00003037,random_control,Send your suggestions and wishes to the mail,Sizning takliflaringizni va tilaklaringizni pochtaga yuboring,0.8822069764137268,0.9660000205039978,0.9887999892234802,1.3863636363636365,0,,,,correct,0.9,4,True,True,句子意思忠实保留，表达自然。,qwen-max,
13,hplt_00006394,random_control,"Sketches of paintings are presented in the Vladimir Cathedral in Kiev, and the work itself is in the Tretyakov Gallery.","Rasmlarning eskizlari Kievdagi Vladimir soborida taqdim etilgan, asarning o'zi esa Tretyakov galereyasida.",0.6079279780387878,1.0,0.9437999725341796,1.1226415094339623,4,low_aligner,,,correct,0.9,4,True,True,乌兹别克语翻译准确地传达了原文意思，没有任何关键信息丢失或添加。,qwen-max,
14,hplt_00000102,high_risk,Prokaryotic DNA is found in the central part of the cell: a darkened region called the nucleoid (Figure 1).,Prokaryotik DNK hujayraning markaziy qismida joylashgan: nukleoid deb ataladigan qoraygan hudud.,0.519087016582489,0.9300000071525574,0.9301999807357788,1.1145833333333333,9,number_mismatch|low_aligner|low_bicleaner,,,correct,0.9,4,True,True,乌兹别克语翻译准确地传达了原文意思，没有任何关键信息丢失或添加。,qwen-max,
21,hplt_00006188,random_control,"Being a broad and interdisciplinary area, Human Biology relates to other areas of knowledge such as Nutrition, Anthropology, Human Anatomy and Medicine.","Insonning biologiyasi keng va fanlararo sohada bo'lgani uchun ovqatlanish, antropologiya, inson anatomiyasi va tibbiyot kabi boshqa bilim sohalariga tegishli.",0.5650150179862976,1.0,0.9506999850273132,1.0394736842105263,4,low_aligner,,,correct,0.9,4,True,True,句子的意思被准确地保留下来，翻译自然流畅。,qwen-max,
27,hplt_00004921,high_risk,Retrieved 19 July 2006.,Qaraldi: 19-iyul 2006-yil.,0.5267639756202698,0.9100000262260436,0.7871000170707703,1.1304347826086956,9,low_aligner|low_bicleaner|low_bifixer,,,correct,1.0,4,True,True,翻译准确且自然。,qwen-max,
28,hplt_00006548,high_risk,The scooter is available with two battery options: 2.4 kWh and 4.8 kWh for a range up to 100 km.,"Skuter batareyaning ikkita varianti bilan ishlaydi: 2,4 kVt / soat va 100 kmgacha bo'lgan masofa uchun 4,8 kVt / soat.",0.5085660219192505,0.8069999814033508,0.8654000163078308,1.2291666666666667,9,number_mismatch|low_aligner|low_bicleaner,,,minor,0.9,3,True,True,电池容量单位从kWh被误译为kVt / soat（kW时），但核心意思基本保留。,qwen-max,
