eval_id,benchmark,pair_id,src_lang,tgt_lang,source,reference,model_name,prediction,total_seconds,generated_tokens,has_repetition,hit_max_tokens,length_ratio
en-ru-0397,flores_devtest,397,en,ru,"There were no large forests in the land of Canaan, so wood was extremely expensive.","На земле Ханаана не было больших лесов, поэтому древесина была чрезвычайно дорогой.",m2m100_1_2b,"В Ханаанской земле не было больших лесов, поэтому древесина была чрезвычайно дорогой.",0.3778146000113338,29,False,False,1.0240963855421688
en-ru-0814,flores_devtest,814,en,ru,"If you booked your flights and accommodation for 2020 before the postponement was announced, you may have a tricky situation.","Если вы забронировали авиабилеты и проживание на 2020 год до того, как было объявлено о переносе даты, у вас может возникнуть непростая ситуация.",m2m100_1_2b,"Если вы забронировали рейсы и проживание на 2020 год до объявления отсрочки, у вас может возникнуть сложная ситуация.",0.4834269999992102,33,False,False,0.8068965517241379
en-uz-0685,flores_devtest,685,en,uz,Sharing a field trip virtually is also a great way to reflect a on a trip and share experiences with future classes.,Ekskursiyalarni virtual tarzda bo'lishish sayohat haqida fikr yuritish va kelasi darslar bilan tajriba almashish uchun ajoyib usuldir.,m2m100_1_2b,"Bu yolda o‘z bilan o‘ladi, o‘zi o‘zuldi, o’z o’ldi.",0.5172656000358984,31,False,False,0.3805970149253731
en-uz-0787,flores_devtest,787,en,uz,"Saltwater Crocodiles do not actively live in the ocean, their primary habitat is in river estuaries north from Rockhampton.","Sho'r suv timsohlari okeanda ko'p uchramaydi, ularning asosiy yashash joyi Rokxemptondan shimolda joylashgan daryolarning quyilish joylaridir.",m2m100_1_2b,"Saltwater Crocodiles aktiv o‘zayda yaşaymazlar, primary habitatlar Rockefeller'in North of Rockhampton.",0.5057946000015363,36,False,False,0.7253521126760564
en-zh-0068,flores_devtest,68,en,zh,"U.S. President George W. Bush arrived in Singapore the morning of November 16, beginning a week-long tour of Asia.",美国总统乔治·沃克·布什于 11 月 16 日上午抵达新加坡，开始为期一周的亚洲之行。,m2m100_1_2b,"美国总统布什11月16日上午抵达新加坡,开始为期一周的亚洲之旅。",0.4324622000567615,27,False,False,0.7441860465116279
en-zh-0994,flores_devtest,994,en,zh,Inland waterways can be a good theme to base a holiday around.,内陆水道可以作为假期游玩的一个不错的主题。,m2m100_1_2b,内陆水道可以是一个很好的主题来建立一个假期周围。,0.2737096999771893,21,False,False,1.1428571428571428
ru-en-0994,flores_devtest,994,ru,en,Внутренние водные пути могут стать хорошей темой для проведения какого-либо праздника.,Inland waterways can be a good theme to base a holiday around.,m2m100_1_2b,Inland waterways can be a good theme for any celebration.,0.2502405000850558,17,False,False,0.9193548387096774
ru-en-0439,flores_devtest,439,ru,en,Её всепроникающая сила коснулась каждого - от короля до простолюдина.,Its all-pervading power affected everyone from king to commoner.,m2m100_1_2b,"Her all-pervading power touched everyone, from the king to the ordinary man.",0.4118777000112459,23,False,False,1.1875
ru-uz-0761,flores_devtest,761,ru,uz,"Зима может быть обманчиво холодной: температура редко опускается ниже нуля, но сочетание ветра и влажности воздуха создает ощущение более холодной погоды в сравнении с тем, что показывает термометр.","Qish chalg'itadigan sovuq bo'lishi mumkin: haroratlar kamdan-ham hollarda muzlash nuqtasidan pastga tushadi, biroq shamol va namlik birlashgan holda termometr ko'rsatganiga qaraganda sovuqroqdek tuyulishi mumkin.",m2m100_1_2b,"Bilmiz o‘z o‘zi qilmizdir: temperatur o‘zini qilmidir, amma wind and moisture kombinasiyalarni o‘za o’z daha soğuk hava yaradi.",0.824860299937427,50,False,False,0.5990566037735849
ru-uz-0165,flores_devtest,165,ru,uz,"Начиная с 1988 года урны для избирательных бюллетеней должны быть прозрачными, чтобы избиратели и наблюдатели могли убедиться в том, что в начале голосования внутри нет конвертов и что к ним не добавлены какие-либо другие конверты, кроме конвертов тех людей, которых допустили к участию в голосовании и голоса которых подсчитали надлежащим образом.",1988-yildan beri ovoz beruvchilar va kuzatuvchilar boshlanishida konvertlar mavjud emasligi va mos tarzda sanalgan va vakolat berilgan ovoz beruvchilardan tashqari hech qanday konvertlar qo'shilmasligiga guvohlik bera olishlari uchun saylov qutilarining shaffof bo'lishi talab qilinadi.,m2m100_1_2b,"1988-cından o‘z urnalarni qilmadi, o‘zimlarni və observatorlarni o‘qilmadi ki, qilmidi o‘zi qilmdi, ko‘zlarni qalmadi, ko’zlar o‘zini qilmiddi.",1.242955100024119,67,False,False,0.5
