pair_id,en,uz,source,source_version,source_line,license,commercial_status,source_url,labse_score,token_overlap,english_function_words_in_uz,char_similarity,local_reject,local_reject_reason,llm_label,llm_confidence,llm_reason,selection_stage,final_llm_confidence,v2_label,v2_confidence,v2_reason,auditor_model,final_rank
4bd1974b437710acd86b,Other statistics,Boshqa statistikalari,wikimedia,v20260327,729091,Upstream Wikimedia terms vary; commonly CC BY-SA/GFDL,attribution_sharealike_legal_review_required,https://object.pouta.csc.fi/OPUS-wikimedia/v20260327/moses/en-uz.txt.zip,0.9866851,0.0,0,0.594595,False,,correct,1.0,,v1_reused_after_local_filter,1.0,,,,,0.994008295
2f8b64694a2c0c133dcc,Other names,Boshqa nomlari,wikimedia,v20260327,83524,Upstream Wikimedia terms vary; commonly CC BY-SA/GFDL,attribution_sharealike_legal_review_required,https://object.pouta.csc.fi/OPUS-wikimedia/v20260327/moses/en-uz.txt.zip,0.98651534,0.0,0,0.4,False,,correct,1.0,,v1_reused_after_local_filter,1.0,,,,,0.993931903
7b5cd56b259b2d87a981,Other places,Boshqa joylar,wikimedia,v20260327,1270642,Upstream Wikimedia terms vary; commonly CC BY-SA/GFDL,attribution_sharealike_legal_review_required,https://object.pouta.csc.fi/OPUS-wikimedia/v20260327/moses/en-uz.txt.zip,0.9842226,0.0,0,0.4,False,,correct,1.0,,v1_reused_after_local_filter,1.0,,,,,0.99290017
3a3f7df557bc47c8c35a,He reigned from 1722 to 1735.,U 1722-yildan 1735-yilgacha hukmronlik qildi.,wikimedia,v20260327,20069,Upstream Wikimedia terms vary; commonly CC BY-SA/GFDL,attribution_sharealike_legal_review_required,https://object.pouta.csc.fi/OPUS-wikimedia/v20260327/moses/en-uz.txt.zip,0.98368657,0.0,0,0.297297,False,,correct,1.0,,v1_reused_after_local_filter,1.0,,,,,0.9926589565
fb20958cce71783d54fa,"7 medals (5 gold, 2 silver)","7 ta medal (5 ta oltin, 2 ta kumush)",wikimedia,v20260327,667216,Upstream Wikimedia terms vary; commonly CC BY-SA/GFDL,attribution_sharealike_legal_review_required,https://object.pouta.csc.fi/OPUS-wikimedia/v20260327/moses/en-uz.txt.zip,0.9836616,0.0,0,0.603175,False,,correct,1.0,,v1_reused_after_local_filter,1.0,,,,,0.99264772
6afe2e29c93e790df5c8,"7 medals (3 gold, 2 silver, 2 bronze)","7 ta medal (3 ta oltin, 2 ta kumush, 2 ta bronza)",wikimedia,v20260327,667017,Upstream Wikimedia terms vary; commonly CC BY-SA/GFDL,attribution_sharealike_legal_review_required,https://object.pouta.csc.fi/OPUS-wikimedia/v20260327/moses/en-uz.txt.zip,0.9829201,0.0,0,0.651163,False,,correct,1.0,,v1_reused_after_local_filter,1.0,,,,,0.992314045
054b1884472833b8affc,These include:,Bularga quyidagilar kiradi:,wikimedia,v20260327,763898,Upstream Wikimedia terms vary; commonly CC BY-SA/GFDL,attribution_sharealike_legal_review_required,https://object.pouta.csc.fi/OPUS-wikimedia/v20260327/moses/en-uz.txt.zip,0.9827449,0.0,0,0.243902,False,,correct,1.0,,v1_reused_after_local_filter,1.0,,,,,0.992235205
356b8d533c21afd3ad35,"15 medals (7 gold, 3 silver, 5 bronze)","15 ta medal (7 ta oltin, 3 ta kumush, 5 ta bronza)",wikimedia,v20260327,667753,Upstream Wikimedia terms vary; commonly CC BY-SA/GFDL,attribution_sharealike_legal_review_required,https://object.pouta.csc.fi/OPUS-wikimedia/v20260327/moses/en-uz.txt.zip,0.981604,0.0,0,0.659091,False,,correct,1.0,,v1_reused_after_local_filter,1.0,,,,,0.9917218
e5683fcb1240c1e01ad9,I don't understand you.,Sizni tushunmayman.,Tatoeba,v2026-07-08,162,CC BY 2.0 FR,attribution_required,https://object.pouta.csc.fi/OPUS-Tatoeba/v2026-07-08/moses/en-uz.txt.zip,0.98067534,0.0,0,0.380952,False,,correct,1.0,,v1_reused_after_local_filter,1.0,,,,,0.991303903
f8c2dba00fcbea1a9091,Coupe de France: 2004–05,Fransiya kubogi: 2004–05,wikimedia,v20260327,142467,Upstream Wikimedia terms vary; commonly CC BY-SA/GFDL,attribution_sharealike_legal_review_required,https://object.pouta.csc.fi/OPUS-wikimedia/v20260327/moses/en-uz.txt.zip,0.9799957,0.0,0,0.541667,False,,correct,1.0,,v1_reused_after_local_filter,1.0,,,,,0.990998065
