pair_id,en,uz,source,source_version,source_line,license,commercial_status,source_url,labse_score,llm_label,llm_confidence,llm_reason,ranking_score
a90e99113e9e3ffabe0e,"Retrieved March 1, 2013. ↑ ""Sun Sets on Los Angeles Sol: Report"".",Qaraldi: 1-mart 2013-yil. ↑ „Sun Sets on Los Angeles Sol: Report“.,wikimedia,v20260327,120959,Upstream Wikimedia terms vary; commonly CC BY-SA/GFDL,attribution_sharealike_legal_review_required,https://object.pouta.csc.fi/OPUS-wikimedia/v20260327/moses/en-uz.txt.zip,0.9674106,correct,1.0,,0.9820758300000001
eeafe0ac3ecf3a5227c8,"In 2018, Pegasus tried to acquire an A380 but later cancelled the order.[1]","2018 yilda Pegasus A380 sotib olishga urinib ko'rdi, ammo keyinroq buyurtmani bekor qildi. [1]",wikimedia,v20260327,1155078,Upstream Wikimedia terms vary; commonly CC BY-SA/GFDL,attribution_sharealike_legal_review_required,https://object.pouta.csc.fi/OPUS-wikimedia/v20260327/moses/en-uz.txt.zip,0.9618693,correct,1.0,,0.979028115
a7681df1a3dc61151e65,"Seiko Epson was one of the major companies in the Seiko Group, but does not belong to the Seiko Holdings Group.","Seiko Epson Seiko Groupning yirik kompaniyalaridan biri edi, lekin Seiko Holdings Groupga tegishli emas.",wikimedia,v20260327,118800,Upstream Wikimedia terms vary; commonly CC BY-SA/GFDL,attribution_sharealike_legal_review_required,https://object.pouta.csc.fi/OPUS-wikimedia/v20260327/moses/en-uz.txt.zip,0.9615885,correct,1.0,,0.978873675
ac080287078ec82ab7b2,1 in 1957 and 1958.,1957 va 1958-yillarda 1.,wikimedia,v20260327,273424,Upstream Wikimedia terms vary; commonly CC BY-SA/GFDL,attribution_sharealike_legal_review_required,https://object.pouta.csc.fi/OPUS-wikimedia/v20260327/moses/en-uz.txt.zip,0.9704585,correct,1.0,,0.983752175
eb36d7910ab699303a15,"Retrieved October 31, 2008. ↑ ""The History Boys: How the quads paved the way for future generations"".",Qaraldi: 31-oktabr 2008-yil. ↑ „The History Boys: How the quads paved the way for future generations“.,wikimedia,v20260327,237827,Upstream Wikimedia terms vary; commonly CC BY-SA/GFDL,attribution_sharealike_legal_review_required,https://object.pouta.csc.fi/OPUS-wikimedia/v20260327/moses/en-uz.txt.zip,0.973434,correct,1.0,,0.9853887000000001
8b47ea425fffb1c974e2,"↑ ""Oltu Kaymakamlığı"". oltu.gov.tr (in Turkish).",↑ „Oltu Kaymakamlığı“ (Turkish). oltu.gov.tr.,wikimedia,v20260327,858240,Upstream Wikimedia terms vary; commonly CC BY-SA/GFDL,attribution_sharealike_legal_review_required,https://object.pouta.csc.fi/OPUS-wikimedia/v20260327/moses/en-uz.txt.zip,0.9860774,correct,1.0,,0.9923425700000001
aefca437025966ef461c,Küçükler is a village in the Dursunbey district of Balıkesir province in Turkey.[1],Küçükler — Turkiyaning Balıkesir viloyati Dursunbey tumaniga qarashli qishloq . [1],wikimedia,v20260327,822779,Upstream Wikimedia terms vary; commonly CC BY-SA/GFDL,attribution_sharealike_legal_review_required,https://object.pouta.csc.fi/OPUS-wikimedia/v20260327/moses/en-uz.txt.zip,0.9745648,correct,1.0,,0.9860106400000002
4ad27cb863fd89ddd845,Manuel Belgrano holding the flag.,Bayroqni ushlab turgan Manuel Belgrano .,wikimedia,v20260327,86961,Upstream Wikimedia terms vary; commonly CC BY-SA/GFDL,attribution_sharealike_legal_review_required,https://object.pouta.csc.fi/OPUS-wikimedia/v20260327/moses/en-uz.txt.zip,0.96232986,correct,1.0,,0.979281423
9f84faf2bfc7bc8770e1,Škoda 1101 Tudor Roadster (1949),Skoda 1101 Tudor Roadster (1949 yil),wikimedia,v20260327,2903,Upstream Wikimedia terms vary; commonly CC BY-SA/GFDL,attribution_sharealike_legal_review_required,https://object.pouta.csc.fi/OPUS-wikimedia/v20260327/moses/en-uz.txt.zip,0.96258515,correct,1.0,,0.9794218325000001
1d4f40e467f373c9af7c,"Carolyn Swords (born July 19, 1989) is an American former basketball player.",Carolyn Swords (1989-yil 19-iyulda tug'ilgan) - amerikalik sobiq basketbolchi.,wikimedia,v20260327,190849,Upstream Wikimedia terms vary; commonly CC BY-SA/GFDL,attribution_sharealike_legal_review_required,https://object.pouta.csc.fi/OPUS-wikimedia/v20260327/moses/en-uz.txt.zip,0.9666797,correct,1.0,,0.981673835
