eval_id,benchmark,pair_id,src_lang,tgt_lang,source,reference,model_name,prediction,total_seconds,generated_tokens,has_repetition,hit_max_tokens,raw_prediction,finish_reason,source_has_numbers,numbers_preserved,format_prefix,reference_length_ratio,abnormal_length,sentence_chrf2
ru-uz-0397,flores_devtest,397,ru,uz,"На земле Ханаана не было больших лесов, поэтому древесина была чрезвычайно дорогой.","Kan'on yerlarida keng o'rmonlar yo'q edi, shu sababdan yog'och nihoyatda qimmat edi.",qwen3_4b_q8,Xanaan davriyida katta qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo's,3.6705333000281826,256,True,True,Xanaan davriyida katta qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo's,length,False,True,False,6.607142857142857,True,4.957124953382229
en-uz-0091,flores_devtest,91,en,uz,The scientists were able to conclude that the dark matter affect other dark matter in the same way regular matter does.,"Olimlar qora materiya boshqa qora materiyaga xuddi odatiy materiya ta'sir qilgani kabi ta'sir ko'rsatadi, degan xulosaga kelishdi.",qwen3_4b_q8,"Aloqatliy tilga o'tkazish:
Aloqatliy tilga o'tkazish:
Aloqatliy tilga o'tkazish:
Aloqatliy tilga o'tkazish:
Aloqatliy tilga o'tkazish:
Aloqatliy tilga o'tkazish:
Aloqatliy tilga o'tkazish:
Aloqatliy tilga o'tkazish:
Aloqatliy tilga o'tkazish:
Aloqatliy tilga o'tkazish:
Aloqatliy tilga o'tkazish:
Aloqatliy tilga o'tkazish:
Aloqatliy tilga o'tkazish:
Aloqatliy tilga o'tkazish:
Aloqatliy tilga o'tkazish:
Aloqatliy tilga o'tkazish:
Aloqatliy tilga o'tkazish:
Aloqatliy tilga o'tkazish:",3.846309999935329,256,True,True,"Aloqatliy tilga o'tkazish:
Aloqatliy tilga o'tkazish:
Aloqatliy tilga o'tkazish:
Aloqatliy tilga o'tkazish:
Aloqatliy tilga o'tkazish:
Aloqatliy tilga o'tkazish:
Aloqatliy tilga o'tkazish:
Aloqatliy tilga o'tkazish:
Aloqatliy tilga o'tkazish:
Aloqatliy tilga o'tkazish:
Aloqatliy tilga o'tkazish:
Aloqatliy tilga o'tkazish:
Aloqatliy tilga o'tkazish:
Aloqatliy tilga o'tkazish:
Aloqatliy tilga o'tkazish:
Aloqatliy tilga o'tkazish:
Aloqatliy tilga o'tkazish:
Aloqatliy tilga o'tkazish:
",length,False,True,False,3.730769230769231,True,7.685737537599054
zh-uz-0913,flores_devtest,913,zh,uz,对于那些计划怎么度过空档年的人来说，游学成为越来越受欢迎的选择。,Akademik ta'tilni rejalashtirayotganlar orasida tobora ommalashib borayotgan tanlov – sayohat hamda o'rganishdir.,qwen3_4b_q8,"Ko'proq yoshlarda bo'sh yil uchun planlash kerak bo'lgan kishilarga, o'quvchilarga o'quvchi bo'lmagan yil uchun o'quvchi bo'lmagan yil uchun o'quvchi bo'lmagan yil uchun o'quvchi bo'lmagan yil uchun o'quvchi bo'lmagan yil uchun o'quvchi bo'lmagan yil uchun o'quvchi bo'lmagan yil uchun o'quvchi bo'lmagan yil uchun o'quvchi bo'lmagan yil uchun o'quvchi bo'lmagan yil uchun o'quvchi bo'lmagan yil uchun o'quvchi bo'lmagan yil uchun o'quvchi bo'lmagan yil uchun o'quvchi bo'lmagan yil uchun o'quvchi bo'lmagan yil uchun o'quvchi",3.729955999995582,256,True,True,"Ko'proq yoshlarda bo'sh yil uchun planlash kerak bo'lgan kishilarga, o'quvchilarga o'quvchi bo'lmagan yil uchun o'quvchi bo'lmagan yil uchun o'quvchi bo'lmagan yil uchun o'quvchi bo'lmagan yil uchun o'quvchi bo'lmagan yil uchun o'quvchi bo'lmagan yil uchun o'quvchi bo'lmagan yil uchun o'quvchi bo'lmagan yil uchun o'quvchi bo'lmagan yil uchun o'quvchi bo'lmagan yil uchun o'quvchi bo'lmagan yil uchun o'quvchi bo'lmagan yil uchun o'quvchi bo'lmagan yil uchun o'quvchi bo'lmagan yil uchun o'quvchi bo'lmagan yil uchun o'quvchi",length,False,True,False,4.654867256637168,True,9.213196069813451
zh-uz-0771,flores_devtest,771,zh,uz,除了一艘英国巡航舰外，其余船只悉数沉没。近 200 名美国人和德国人丧失生命。,Bitta Britaniya kreyseridan boshqa barcha kemalar cho'ktirilgan edi. 200 ga yaqin amerikalik va nemis halok bo'lgan.,qwen3_4b_q8,Boshqa barcha qo'shimcha qurilma yoki qurilma yoki qurilma yoki qurilma yoki qurilma yoki qurilma yoki qurilma yoki qurilma yoki qurilma yoki qurilma yoki qurilma yoki qurilma yoki qurilma yoki qurilma yoki qurilma yoki qurilma yoki qurilma yoki qurilma yoki qurilma yoki qurilma yoki qurilma yoki qurilma yoki qurilma yoki qurilma yoki qurilma yoki qurilma yoki qurilma yoki qurilma yoki qurilma yoki qurilma yoki qurilma yoki qurilma yoki qurilma yoki qurilma yoki qurilma yoki qurilma yoki qurilma yoki qurilma yoki qurilma yoki qurilma yoki q,3.7837204999523237,256,True,True,Boshqa barcha qo'shimcha qurilma yoki qurilma yoki qurilma yoki qurilma yoki qurilma yoki qurilma yoki qurilma yoki qurilma yoki qurilma yoki qurilma yoki qurilma yoki qurilma yoki qurilma yoki qurilma yoki qurilma yoki qurilma yoki qurilma yoki qurilma yoki qurilma yoki qurilma yoki qurilma yoki qurilma yoki qurilma yoki qurilma yoki qurilma yoki qurilma yoki qurilma yoki qurilma yoki qurilma yoki qurilma yoki qurilma yoki qurilma yoki qurilma yoki qurilma yoki qurilma yoki qurilma yoki qurilma yoki qurilma yoki qurilma yoki qurilma yoki q,length,True,False,False,4.706896551724138,True,9.320682411820089
zh-uz-0356,flores_devtest,356,zh,uz,要把卫星或望远镜送入太空，需要一枚超过 100 英尺高的巨型火箭。,Sun'iy yo'ldosh yoki teleskopni kosmosga joylashtirish uchun 100 futdan ortiq balandlikdagi ulkan raketa talab qilinadi.,qwen3_4b_q8,Boshqaruv satelllisi yoki teleskopni uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uz,3.716869299998507,256,True,True,Boshqaruv satelllisi yoki teleskopni uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uzunlikda uz,length,True,False,False,5.241666666666666,True,10.9148393785094
en-uz-0085,flores_devtest,85,en,uz,Commons Administrator Adam Cuerden expressed his frustration over the deletions when he spoke to Wikinews last month.,Parlamentning quyi palatasi ma'muri Adam Kuerden o'tgan oyda Wikinews bilan suhbatida o'chirishlardan ranjiganini aytdi.,qwen3_4b_q8,"Kommunalar administratori Adam Cuerden, aynan o'zini Wikinewsga o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'",3.847537299967371,256,True,True,"Kommunalar administratori Adam Cuerden, aynan o'zini Wikinewsga o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'zini o'",length,False,True,False,3.875,True,11.655127453548781
zh-uz-0814,flores_devtest,814,zh,uz,如果你在宣布推迟之前预订了 2020 年的航班和住宿，则可能会面临棘手的情况。,"Agar siz kechiktirish e'lon qilinishidan avval 2020-yil uchun reyslar va mehmonxonani buyurtna qilgan bo'lsangiz, siz qiyin vaziyatda qolishingiz mumkin.",qwen3_4b_q8,Agar 2020-yil bo'ylab bo'lib o'tgan kiritish va o'zimizga qo'shimcha xizmatlar tashkil etishga qo'shib olib borishga qo'shib olib borishga qo'shib olib borishga qo'shib olib borishga qo'shib olib borishga qo'shib olib borishga qo'shib olib borishga qo'shib olib borishga qo'shib olib borishga qo'shib olib borishga qo'shib olib borishga qo'shib olib borishga qo'shib olib borishga qo'shib olib borishga qo'shib olib borishga qo'shib olib borishga qo'shib olib borishga qo'shib olib borishga qo'shib olib borishga qo'shib olib borishga qo'shib olib borishga qo'shib olib borishga qo'shib olib borishga q,3.835125300101936,256,True,True,Agar 2020-yil bo'ylab bo'lib o'tgan kiritish va o'zimizga qo'shimcha xizmatlar tashkil etishga qo'shib olib borishga qo'shib olib borishga qo'shib olib borishga qo'shib olib borishga qo'shib olib borishga qo'shib olib borishga qo'shib olib borishga qo'shib olib borishga qo'shib olib borishga qo'shib olib borishga qo'shib olib borishga qo'shib olib borishga qo'shib olib borishga qo'shib olib borishga qo'shib olib borishga qo'shib olib borishga qo'shib olib borishga qo'shib olib borishga qo'shib olib borishga qo'shib olib borishga qo'shib olib borishga qo'shib olib borishga qo'shib olib borishga q,length,True,True,False,3.934640522875817,True,11.950273067484165
ru-uz-0950,flores_devtest,950,ru,uz,Севернее посетите также великий Храм Фатимской Богоматери (усыпальница) — место всемирно известных явлений Девы Марии.,Yana shimolda butun dunyoga mashhur bo'lgan Mariam onamizning ko'rinish joyi bo'lgan Fotima onamiz ibodatxonasiga (Muqaddas jiy) ham tashrif buyuring.,qwen3_4b_q8,"Ko'pincha, Katedrali (usupalinishi) - Mariya Kvinasining universal katta tajriba joyi bo'lib, Katedrali (usupalinishi) - Mariya Kvinasining universal katta tajriba joyi bo'lib, Katedrali (usupalinishi) - Mariya Kvinasining universal katta tajriba joyi bo'lib, Katedrali (usupalinishi) - Mariya Kvinasining universal katta tajriba joyi bo'lib, Katedrali (usupalinishi) - Mariya Kvinasining universal katta tajriba joyi bo'lib, Katedrali (usupalinishi) - Mariya Kvinasining universal katta tajriba joyi bo'lib, Katedrali (usupalinishi) - Mariya Kvinasining universal katta tajriba joyi bo'lib, Katedrali (usupalinishi) - Mariya Kvinasining universal katta tajriba joyi bo'lib, Katedrali (us",3.646662799990736,256,True,True,"Ko'pincha, Katedrali (usupalinishi) - Mariya Kvinasining universal katta tajriba joyi bo'lib, Katedrali (usupalinishi) - Mariya Kvinasining universal katta tajriba joyi bo'lib, Katedrali (usupalinishi) - Mariya Kvinasining universal katta tajriba joyi bo'lib, Katedrali (usupalinishi) - Mariya Kvinasining universal katta tajriba joyi bo'lib, Katedrali (usupalinishi) - Mariya Kvinasining universal katta tajriba joyi bo'lib, Katedrali (usupalinishi) - Mariya Kvinasining universal katta tajriba joyi bo'lib, Katedrali (usupalinishi) - Mariya Kvinasining universal katta tajriba joyi bo'lib, Katedrali (usupalinishi) - Mariya Kvinasining universal katta tajriba joyi bo'lib, Katedrali (us",length,False,True,False,4.586666666666667,True,12.329517183074499
en-uz-0746,flores_devtest,746,en,uz,"The Chaco region was home to other groups of indigenous tribes such as the Guaycurú and Payaguá, who survived by hunting, gathering and fishing.","Chako mintaqasida Guaykuru va Payagua kabi mahalliy qabilalarning boshqa guruhlari yashab, ular ovchilik, termachilik va baliq ovlash orqali hayotlarini saqlab qolishgan.",qwen3_4b_q8,Chako regioni Guaycuru va Payaguá kabi boshqa adatdagi qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha q,3.8508949000388384,256,True,True,Chako regioni Guaycuru va Payaguá kabi boshqa adatdagi qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha qo'shimcha q,length,False,True,False,3.3058823529411763,True,13.159959554706916
zh-uz-0994,flores_devtest,994,zh,uz,内陆水道可以作为假期游玩的一个不错的主题。,Ichki suv yo'llari ta'til uchun yaxshi mavzu bo'lishi mumkin.,qwen3_4b_q8,Ichki suv yo'llari yengi o'ylab ko'rgan bo'lgan xavfli o'ylab ko'rgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan,3.6882895999588072,256,True,True,Ichki suv yo'llari yengi o'ylab ko'rgan bo'lgan xavfli o'ylab ko'rgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan bo'lgan,length,False,True,False,8.344262295081966,True,13.301969648491205
